stem,bucket,priority,size,worst_verdict,layer,findings,summary,status,resolution
Agawam2021,ungrounded-names-1,2043.5,22287,FAIL,1,3,names_grounded: 20/26 names located in data/raw_ocr/Agawam2021.txt,open,
Needham2025,ungrounded-names-1,2040.9,25105,FAIL,1,2,names_grounded: 48/178 names located in data/raw_ocr/Needham2025.txt,open,
Stoughton2026,ungrounded-names-1,2037.8,23250,FAIL,1,3,names_grounded: 66/83 names located in data/raw_ocr/Stoughton2026.txt,open,
Rockland2025,ungrounded-names-1,2034.9,13410,FAIL,1,4,names_grounded: 47/48 names located in data/markdown/Rockland2025.md,open,
Pembroke2025,ungrounded-names-1,2034.7,15006,FAIL,1,3,names_grounded: 4/15 names located in data/raw_ocr/Pembroke2025.txt,open,
Pembroke2026,ungrounded-names-1,2034.7,15006,FAIL,1,3,names_grounded: 5/19 names located in data/raw_ocr/Pembroke2026.txt,open,
Reading2025,ungrounded-names-1,2029.8,21156,FAIL,1,3,names_grounded: 170/171 names located in data/markdown/Reading2025.md,open,
Norwood2025,ungrounded-names-1,2023.2,23446,FAIL,1,2,names_grounded: 278/279 names located in data/raw_ocr/Norwood2025.txt,open,
WestSpringfield2025,ungrounded-names-1,2017.5,20194,FAIL,1,3,names_grounded: 3/34 names located in data/markdown/WestSpringfield2025.md,open,
Foxborough2022,ungrounded-names-1,2015.0,13973,FAIL,1,3,names_grounded: 3/16 names located in data/raw_ocr/Foxborough2022.txt,open,
Foxborough2023,ungrounded-names-1,2014.8,13965,FAIL,1,3,names_grounded: 0/10 names located in data/markdown/Foxborough2023.md,open,
Reading2026,ungrounded-names-1,2013.1,21156,FAIL,1,3,names_grounded: 200/212 names located in data/raw_ocr/Reading2026.txt,open,
Sharon2026,ungrounded-names-1,2007.7,13610,FAIL,1,3,names_grounded: 2/14 names located in data/raw_ocr/Sharon2026.txt,open,
Chelsea2025,ungrounded-names-1,2001.3,18990,FAIL,1,3,names_grounded: 27/28 names located in data/markdown/Chelsea2025.md,open,
Milford2026,ungrounded-names-1,1999.6,18867,FAIL,1,4,names_grounded: 4/101 names located in data/raw_ocr/Milford2026.txt,open,
Bridgewater2025,ungrounded-names-1,1998.2,18769,FAIL,1,3,names_grounded: 10/14 names located in data/raw_ocr/Bridgewater2025.txt,open,
Dedham2026,ungrounded-names-1,1994.6,20999,FAIL,1,2,names_grounded: 37/121 names located in data/raw_ocr/Dedham2026.txt,open,
Bridgewater2024,ungrounded-names-1,1994.3,18493,FAIL,1,3,names_grounded: 4/13 names located in data/raw_ocr/Bridgewater2024.txt,open,
Reading2024,ungrounded-names-1,1990.2,20647,FAIL,1,2,names_grounded: 228/229 names located in data/markdown/Reading2024.md,open,
Bridgewater2022,ungrounded-names-1,1988.1,18061,FAIL,1,3,names_grounded: 3/8 names located in data/raw_ocr/Bridgewater2022.txt,open,
Swampscott2026,ungrounded-names-1,1987.3,12640,FAIL,1,3,names_grounded: 15/105 names located in data/raw_ocr/Swampscott2026.txt,open,
Bridgewater2023,ungrounded-names-1,1986.4,17945,FAIL,1,3,names_grounded: 9/10 names located in data/raw_ocr/Bridgewater2023.txt,open,
Milford2025,ungrounded-names-1,1983.2,18867,FAIL,1,3,names_grounded: 27/107 names located in data/raw_ocr/Milford2025.txt,open,
Middleborough2024,ungrounded-names-1,1980.5,19894,FAIL,1,2,names_grounded: 16/21 names located in data/raw_ocr/Middleborough2024.txt,open,
Lenox2025,ungrounded-names-1,1975.3,3873,FAIL,1,4,names_grounded: 6/7 names located in data/markdown/Lenox2025.md,open,
Wellesley2021,ungrounded-names-1,1975.2,19491,FAIL,1,2,names_grounded: 117/119 names located in data/markdown/Wellesley2021.md,open,
Walpole2023,ungrounded-names-1,1973.1,19333,FAIL,1,2,names_grounded: 26/72 names located in data/raw_ocr/Walpole2023.txt,open,
Mansfield2026,ungrounded-names-1,1972.4,19280,FAIL,1,2,names_grounded: 3/10 names located in data/raw_ocr/Mansfield2026.txt,open,
Mansfield2024,ungrounded-names-1,1971.1,19185,FAIL,1,2,names_grounded: 0/3 names located in data/raw_ocr/Mansfield2024.txt,open,
Sturbridge2021,impossible-arithmetic-1,1967.3,6999,FAIL,2,11,marks_exceed_ballots: ASSESSOR - 3 Year Term: 1097 marks > 1095 ballots x 1 seats = 1095,open,
EastBridgewater2026,ungrounded-names-1,1964.5,11637,FAIL,1,3,names_grounded: 9/15 names located in data/raw_ocr/EastBridgewater2026.txt,open,
Bourne2021,ungrounded-names-1,1960.6,15318,FAIL,1,5,names_grounded: 21/26 names located in data/raw_ocr/Bourne2021.txt,open,
Brookfield2021,ungrounded-names-1,1959.8,2527,FAIL,1,5,names_grounded: 12/15 names located in data/raw_ocr/Brookfield2021.txt,open,
Westford2022,ungrounded-names-1,1956.0,18094,FAIL,1,2,names_grounded: 1/15 names located in data/raw_ocr/Westford2022.txt,open,
Holden2025,ungrounded-names-1,1952.6,15784,FAIL,1,3,names_grounded: 10/16 names located in data/raw_ocr/Holden2025.txt,open,
Bourne2023,ungrounded-names-1,1944.3,15296,FAIL,1,3,names_grounded: 33/34 names located in data/raw_ocr/Bourne2023.txt,open,
Norton2026,ungrounded-names-1,1941.7,15145,FAIL,1,3,names_grounded: 8/10 names located in data/raw_ocr/Norton2026.txt,open,
Holden2022,ungrounded-names-1,1937.7,14914,FAIL,1,4,names_grounded: 8/14 names located in data/raw_ocr/Holden2022.txt,open,
Plympton2026,ungrounded-names-1,1937.2,2539,FAIL,1,3,names_grounded: 4/18 names located in data/raw_ocr/Plympton2026.txt,open,
Marblehead2024,ungrounded-names-1,1937.1,16822,FAIL,1,2,names_grounded: 26/28 names located in data/raw_ocr/Marblehead2024.txt,open,
Holden2026,ungrounded-names-1,1936.6,15784,FAIL,1,3,names_grounded: 4/7 names located in data/raw_ocr/Holden2026.txt,open,
Wrentham2024,ungrounded-names-1,1931.5,9776,FAIL,1,11,names_grounded: 118/123 names located in data/markdown/Wrentham2024.md,open,
Bourne2025,ungrounded-names-1,1930.8,16418,FAIL,1,2,names_grounded: 54/60 names located in data/raw_ocr/Bourne2025.txt,open,
Leicester2026,ungrounded-names-1,1923.6,9008,FAIL,1,4,names_grounded: 20/21 names located in data/raw_ocr/Leicester2026.txt,open,
Holden2021,ungrounded-names-1,1919.3,14774,FAIL,1,3,names_grounded: 51/77 names located in data/raw_ocr/Holden2021.txt,open,
Northfield2023,ungrounded-names-1,1919.2,2406,FAIL,1,3,names_grounded: 13/15 names located in data/markdown/Northfield2023.md,open,
EastLongmeadow2026,ungrounded-names-1,1917.2,13796,FAIL,1,3,names_grounded: 6/7 names located in data/raw_ocr/EastLongmeadow2026.txt,open,
Westport2026,ungrounded-names-1,1917.2,14655,FAIL,1,3,names_grounded: 19/21 names located in data/raw_ocr/Westport2026.txt,open,
Sudbury2025,ungrounded-names-1,1911.6,14346,FAIL,1,3,names_grounded: 14/17 names located in data/markdown/Sudbury2025.md,open,
Grafton2026,ungrounded-names-1,1911.2,15224,FAIL,1,2,names_grounded: 11/12 names located in data/raw_ocr/Grafton2026.txt,open,
Easthampton2025,ungrounded-names-1,1902.0,13021,FAIL,1,3,names_grounded: 7/23 names located in data/markdown/Easthampton2025.md,open,
Westport2025,ungrounded-names-1,1901.4,14655,FAIL,1,2,names_grounded: 8/16 names located in data/raw_ocr/Westport2025.txt,open,
Hull2025,ungrounded-names-1,1900.8,9234,FAIL,1,3,names_grounded: 20/21 names located in data/raw_ocr/Hull2025.txt,open,
Hull2026,ungrounded-names-1,1900.8,9234,FAIL,1,3,names_grounded: 13/22 names located in data/raw_ocr/Hull2026.txt,open,
Hudson2026,ungrounded-names-1,1900.5,14609,FAIL,1,2,names_grounded: 5/14 names located in data/raw_ocr/Hudson2026.txt,open,
Gardner2021,ungrounded-names-1,1899.4,12896,FAIL,1,3,names_grounded: 51/73 names located in data/raw_ocr/Gardner2021.txt,open,
Winthrop2025,ungrounded-names-1,1895.5,14326,FAIL,1,2,names_grounded: 6/20 names located in data/raw_ocr/Winthrop2025.txt,open,
Leicester2021,ungrounded-names-1,1891.7,8035,FAIL,1,4,names_grounded: 2/12 names located in data/raw_ocr/Leicester2021.txt,open,
Longmeadow2023,ungrounded-names-1,1891.1,12494,FAIL,1,3,names_grounded: 9/10 names located in data/markdown/Longmeadow2023.md,open,
Provincetown2024,ungrounded-figures-1,1889.3,3474,FAIL,1,4,figures_grounded: 18/26 figures located in data/markdown/Provincetown2024.md,open,
Hudson2022,ungrounded-names-1,1889.2,13980,FAIL,1,2,names_grounded: 12/19 names located in data/raw_ocr/Hudson2022.txt,open,
Winthrop2021,ungrounded-names-1,1886.9,13049,FAIL,1,3,names_grounded: 7/21 names located in data/raw_ocr/Winthrop2021.txt,open,
Sharon2024,ungrounded-names-1,1886.2,13822,FAIL,1,2,names_grounded: 1/13 names located in data/raw_ocr/Sharon2024.txt,open,
Hudson2021,ungrounded-names-1,1886.0,13810,FAIL,1,2,names_grounded: 15/27 names located in data/raw_ocr/Hudson2021.txt,open,
Webster2026,ungrounded-names-1,1884.6,13738,FAIL,1,2,names_grounded: 34/35 names located in data/raw_ocr/Webster2026.txt,open,
Bellingham2025,ungrounded-names-1,1884.5,13732,FAIL,1,2,names_grounded: 26/27 names located in data/markdown/Bellingham2025.md,open,
Bellingham2026,ungrounded-names-1,1884.5,13732,FAIL,1,2,names_grounded: 12/18 names located in data/raw_ocr/Bellingham2026.txt,open,
Fairhaven2026,ungrounded-names-1,1880.6,13526,FAIL,1,2,names_grounded: 1/16 names located in data/raw_ocr/Fairhaven2026.txt,open,
SouthHadley2026,ungrounded-names-1,1877.5,13365,FAIL,1,2,names_grounded: 8/70 names located in data/raw_ocr/SouthHadley2026.txt,open,
