municipality,year,url,kind,pool,prior_status
Woburn,2017,https://www.woburnma.gov/wp-content/uploads/2017/06/Woburn-Annual-Report-FY2015-Part-4-1.pdf,atr,nodes,NOT_PDF
Woburn,2018,https://www.woburnma.gov/wp-content/uploads/2017/06/City-of-Woburn-Annual-Report-FY2018.pdf,atr,nodes,NOT_PDF
Woburn,2019,https://woburnma.gov/wp-content/uploads/2019/11/Municipal-Election-11-5-2019-Unofficial-After-Recanvassing-of-Ward-1-Precinct-2.pdf,result,catalog,NOT_PDF
Lynn,2017,http://lynnma.gov/cityhall_documents/clerk_elections/election_results/city_of_lynn_election_results_nov_2017_unofficial.pdf,result,catalog,ERROR
Lynn,2017,http://lynnma.gov/cityhall_documents/clerk_elections/election_results/primary_results_september_12_2017.pdf,result,catalog,ERROR
Lynn,2018,http://www.lynnma.gov/cityhall_documents/clerk_elections/election_results/city_of_lynn_election_results_nov_2018_unofficial.pdf,result,catalog,ERROR
Lynn,2018,http://www.lynnma.gov/cityhall_documents/clerk_elections/election_results/primary_results_sep_04_2018.pdf,result,catalog,ERROR
Lynn,2019,http://lynnma.gov/cityhall_documents/clerk_elections/election_results/city_of_lynn_election_results_sep_03_2019_unofficial.pdf,result,catalog,ERROR
Lynn,2019,http://www.lynnma.gov/cityhall_documents/clerk_elections/election_results/city_of_lynn_election_results_nov_05_2019_official.pdf,result,catalog,ERROR
Lynn,2019,http://www.lynnma.gov/cityhall_documents/clerk_elections/election_results/city_of_lynn_election_results_nov_05_2019_unofficial.pdf,result,catalog,ERROR
Lynn,2020,http://www.lynnma.gov/cityhall_documents/clerk_elections/election_results/city_lynn_election_results_nov_03_2020_official.pdf,result,catalog,ERROR
Lynn,2020,http://www.lynnma.gov/cityhall_documents/clerk_elections/election_results/city_of_lynn_election_results_mar_03_2020_official.pdf.pdf,result,catalog,ERROR
Lynn,2020,http://www.lynnma.gov/cityhall_documents/clerk_elections/election_results/city_of_lynn_election_results_mar_03_2020_unofficial.pdf,result,catalog,ERROR
Waltham,2014,http://www.city.waltham.ma.us:80/sites/walthamma/files/file/file/waltham_ma_ms4_annual_report_april_2014_0.pdf,atr,nodes,ERROR
Waltham,2015,http://www.city.waltham.ma.us:80/sites/walthamma/files/file/file/annual_report2015_updatefinal.pdf,atr,nodes,ERROR
Waltham,2015,http://www.city.waltham.ma.us:80/sites/walthamma/files/file/file/wpd_annual_report_2015_3.pdf,atr,nodes,ERROR
Waltham,2016,http://www.city.waltham.ma.us:80/sites/walthamma/files/file/file/waltham_ms4annualreport_permit_april_29_2016_0.pdf,atr,nodes,ERROR
Waltham,2016,http://www.city.waltham.ma.us:80/sites/walthamma/files/tally_sheet_november_election_2016.pdf,result,catalog,ERROR
Waltham,2017,http://www.city.waltham.ma.us:80/sites/walthamma/files/file/file/2017_waltham_preliminary_election_results.pdf,result,catalog,ERROR
Waltham,2017,http://www.city.waltham.ma.us:80/sites/walthamma/files/file/file/signed_final_ms4annualreport_year14_2016-2017_04282017.pdf,atr,nodes,ERROR
Chesterfield,2013,http://www.townofchesterfieldma.com/attachments/195_2013%20Annual%20Town%20Election%20Results.pdf,result,catalog,ERROR
Chesterfield,2014,http://www.townofchesterfieldma.com/attachments/220_2014%20Annual%20Election%20Results.pdf,result,catalog,ERROR
