stem,old_cut,new_cut,pages,picked,score,runner_up,detail,url,election
Nahant2019,minutes or warrant,minutes or warrant,77,71-73,27,21,"page 72: 1 headings, 0 ballot words, 12 offices",https://web.archive.org/web/20231110195645id_/https://nahant.org/wp-content/uploads/2022/11/Town-of-Nahant_Annual-Report_2019.pdf,no tally page
NewMarlborough2014,directory or list,directory or list,47,42-44,19,9,"page 43: 1 headings, 0 ballot words, 8 offices",https://web.archive.org/web/20260116133947id_/https://www.newmarlboroughma.gov/sites/g/files/vyhlif4771/f/uploads/annual_town_report_2014.pdf,no tally page
Northborough2010,directory or list,directory or list,64,48-50,18,18,"page 49: 1 headings, 1 ballot words, 7 offices",https://web.archive.org/web/20111125115947id_/http://www.town.northborough.ma.us:80/Pages/NorthboroughMA_Admin/2010AnnualReport.pdf,no tally page
Northborough2012,directory or list,directory or list,62,7-9,18,0,"page 8: 1 headings, 1 ballot words, 7 offices",https://web.archive.org/web/20130918154850id_/http://www.town.northborough.ma.us:80/Pages/NorthboroughMA_Admin/2012AnnualReport.pdf,no tally page
Northborough2013,directory or list,directory or list,64,22-24,30,22,"page 23: 1 headings, 1 ballot words, 13 offices",https://web.archive.org/web/20220302194108id_/https://www.town.northborough.ma.us/sites/g/files/vyhlif3571/f/uploads/2013_annual_report.pdf,no tally page
Northborough2014,directory or list,directory or list,67,22-24,30,18,"page 23: 1 headings, 1 ballot words, 13 offices",https://web.archive.org/web/20150910012138id_/http://www.town.northborough.ma.us/Pages/NorthboroughMA_Admin/2014AnnualReport.pdf,no tally page
Northborough2015,directory or list,directory or list,60,22-24,30,18,"page 23: 1 headings, 1 ballot words, 13 offices",https://web.archive.org/web/20220308130040id_/https://www.town.northborough.ma.us/sites/g/files/vyhlif3571/f/uploads/2015_annual_report.pdf,no tally page
Northborough2017,directory or list,directory or list,59,20-22,30,18,"page 21: 1 headings, 1 ballot words, 13 offices",https://web.archive.org/web/20220302075313id_/https://www.town.northborough.ma.us/sites/g/files/vyhlif3571/f/uploads/2017_annual_report.pdf,no tally page
Northborough2018,directory or list,directory or list,63,20-22,30,18,"page 21: 1 headings, 1 ballot words, 13 offices",https://web.archive.org/web/20220302075440id_/https://www.town.northborough.ma.us/sites/g/files/vyhlif3571/f/uploads/2018_annual_report.pdf,no tally page
Northfield2018,directory or list,directory or list,85,41-43,23,0,"page 42: 1 headings, 0 ballot words, 10 offices",https://web.archive.org/web/20230617182602id_/https://www.northfieldma.gov/sites/g/files/vyhlif991/f/uploads/2018_northfield_annual_town_report.pdf,no tally page
Paxton2020,directory or list,directory or list,1,1-1,23,0,"page 1: 1 headings, 0 ballot words, 10 offices",https://web.archive.org/web/20210327122634id_/https://www.townofpaxton.net/sites/g/files/vyhlif4846/f/uploads/2020_caucus_results.pdf,no tally page
Pembroke2012,directory or list,directory or list,183,3-5,11,0,"page 4: 1 headings, 0 ballot words, 4 offices",https://web.archive.org/web/20160328125429id_/http://www.pembroke-ma.gov/sites/pembrokema/files/uploads/2012_annual_report.pdf,no tally page
Petersham2021,unclear,unclear,103,2-4,19,0,"page 3: 1 headings, 0 ballot words, 8 offices",https://archives.lib.state.ma.us/server/api/core/bitstreams/d07430f4-84f2-4371-b4ee-9bd673e3ae06/content,no tally page
Plainville2018,unclear,unclear,148,29-32,55,32,"page 30: 1 headings, 12 ballot words, 16 offices",https://web.archive.org/web/20220302104327id_/https://www.plainville.ma.us/sites/g/files/vyhlif4871/f/uploads/annual_report_for_fy_2018.pdf,no tally page
Richmond2012,minutes or warrant,minutes or warrant,96,94-96,17,10,"page 95: 1 headings, 0 ballot words, 7 offices",https://web.archive.org/web/20131217033853id_/http://www.richmondma.org/vertical/sites/%7B9DC0A798-F1C3-4B1E-8269-2CF29B5BB3F8%7D/uploads/RICHMOND_TOWN_REPORT_2012_WEB.pdf,no tally page
Richmond2016,minutes or warrant,minutes or warrant,97,29-31,23,19,"page 30: 1 headings, 0 ballot words, 10 offices",https://web.archive.org/web/20160909083220id_/http://www.richmondma.org:80/vertical/sites/%7B9DC0A798-F1C3-4B1E-8269-2CF29B5BB3F8%7D/uploads/Richmond_Town_Report_2016_web.pdf,no tally page
Seekonk2017,minutes or warrant,minutes or warrant,134,38-40,15,12,"page 39: 1 headings, 0 ballot words, 6 offices",https://web.archive.org/web/20220302020651id_/https://www.seekonk-ma.gov/sites/g/files/vyhlif1191/f/pages/annual_report_2017.pdf,no tally page
Sharon2012,directory or list,directory or list,288,250-252,23,20,"page 251: 1 headings, 0 ballot words, 10 offices",https://web.archive.org/web/20150108040219id_/http://www.townofsharon.net/sites/sharonma/files/file/file/2012_annual_town_report.pdf,no tally page
Sheffield2011,minutes or warrant,minutes or warrant,84,20-22,17,0,"page 21: 1 headings, 0 ballot words, 7 offices",https://web.archive.org/web/20161229015950id_/http://www.sheffieldma.gov/Pages/SheffieldMA_WebDocs/2011AnnualReport.pdf,no tally page
Shirley2008,unclear,unclear,1,1-1,57,0,"page 1: 1 headings, 8 ballot words, 3 offices",https://web.archive.org/web/20220301202104id_/https://www.shirley-ma.gov/sites/g/files/vyhlif5001/f/pages/11-4-2008_override_election_results.pdf,no tally page
Shirley2009,unclear,unclear,3,2-3,16,0,"page 3: 1 headings, 3 ballot words, 0 offices",https://web.archive.org/web/20220301201945id_/https://www.shirley-ma.gov/sites/g/files/vyhlif5001/f/pages/9-15-2009_election_results.pdf,no tally page
Shirley2011,unclear,unclear,2,1-2,12,0,"page 1: 1 headings, 1 ballot words, 4 offices",https://web.archive.org/web/20220307191501id_/https://www.shirley-ma.gov/sites/g/files/vyhlif5001/f/pages/2-5-_2011_election_result.pdf,no tally page
Southborough2018,directory or list,directory or list,124,3-5,17,0,"page 4: 1 headings, 0 ballot words, 7 offices",https://archives.lib.state.ma.us/server/api/core/bitstreams/cf000755-9db3-4196-a77d-8f10d3e6c220/content,no tally page
Southborough2019,directory or list,directory or list,114,3-5,22,0,"page 4: 2 headings, 0 ballot words, 8 offices",https://web.archive.org/web/20220302030333id_/https://www.southboroughtown.com/sites/g/files/vyhlif7351/f/uploads/2019_annual_report_final_031020.pdf,no tally page
Stockbridge2020,directory or list,directory or list,88,11-13,18,17,"page 12: 2 headings, 0 ballot words, 6 offices",https://web.archive.org/web/20230109215121id_/https://stockbridge-ma.gov/wp-content/uploads/2020/06/2019-Annual-Report.pdf,no tally page
Stoneham2015,minutes or warrant,minutes or warrant,118,100-102,53,33,"page 101: 2 headings, 5 ballot words, 17 offices",https://web.archive.org/web/20160817235039id_/http://www.stoneham-ma.gov:80/sites/stonehamma/files/file/file/0_aa_2015_annual_report.pdf,no tally page
Stow2008,directory or list,directory or list,144,2-4,27,11,"page 3: 1 headings, 0 ballot words, 12 offices",https://web.archive.org/web/20151024190449id_/http://www.stow-ma.gov/Pages/StowMA_Selectmen/StowMA_TownReports/2008%20Annual%20Report.pdf,no tally page
Stow2009,directory or list,directory or list,156,4-6,26,17,"page 5: 2 headings, 0 ballot words, 10 offices",https://web.archive.org/web/20151024192416id_/http://www.stow-ma.gov/Pages/StowMA_Selectmen/StowMA_TownReports/2009_StowAR_final.pdf,no tally page
