municipality,year,url,kind,pool,pages
Marshfield,2013,https://cms3.revize.com/revize/bellcountytx/departments/elections/docs/2013_Constitutional_Election_Precinct_by_Precinct_Results.pdf,result,catalog,57
Marshfield,2013,https://cms3.revize.com/revize/bellcountytx/departments/elections/docs/2013_Constitutional_Election_Summary_Results.pdf,result,catalog,3
Marshfield,2014,https://cms3.revize.com/revize/bellcountytx/departments/elections/docs/Democrat_2014_Primary_Runoff_Results.pdf,result,catalog,2
Marshfield,2014,https://cms3.revize.com/revize/bellcountytx/departments/elections/docs/Republican_2014_Primary_Runoff_Results.pdf,result,catalog,2
Marshfield,2015,https://cms3.revize.com/revize/allenparkmi/Documents/Departments/Clerk/Election%20Information/Past%20Election%20Results/Aug-4th-2015-Results-(1).pdf,result,catalog,1
Marshfield,2015,https://cms3.revize.com/revize/bellcountytx/departments/elections/docs/11_03_2015_Precinct_by_Precinct_Results_OFFICAL.pdf,result,catalog,50
Marshfield,2015,https://cms3.revize.com/revize/bellcountytx/departments/elections/docs/11_03_2015_Summary_Results_OFFICAL.pdf,result,catalog,2
Marshfield,2016,https://cms3.revize.com/revize/allenparkmi/Documents/Departments/Clerk/Election%20Information/Past%20Election%20Results/March-8th-2016-results-by-precinct.pdf,result,catalog,49
Marshfield,2017,https://cms3.revize.com/revize/bellcountytx/departments/elections/docs/11.7.2017_Precinct_by_Precinct_Results.pdf,result,catalog,52
Marshfield,2017,https://cms3.revize.com/revize/bellcountytx/departments/elections/docs/11.7.2017_Summary_Results.pdf,result,catalog,3
Marshfield,2019,"https://cms3.revize.com/revize/allenparkmi/Documents/Departments/Clerk/Election%20Information/Past%20Election%20Results/August-6,-2019-Unofficial-Results.pdf",result,catalog,1
Marshfield,2019,https://cms3.revize.com/revize/bellcountytx/elections/11.5.2019_Precinct_by_Precinct_Results.pdf,result,catalog,149
Marshfield,2019,https://cms3.revize.com/revize/bellcountytx/elections/11.5.2019_Summary_Results.pdf,result,catalog,6
Marshfield,2020,https://cms3.revize.com/revize/allenparkmi/Documents/Departments/Clerk/Election%20Information/Past%20Election%20Results/unofficial-results-mar-10-2020.pdf,result,catalog,3
Marshfield,2020,https://cms3.revize.com/revize/bellcountytx/elections/Results/07.14.2020_Summary_DEM.pdf,result,catalog,2
Marshfield,2020,https://cms3.revize.com/revize/bellcountytx/elections/Results/07.14.2020_Summary_REP.pdf,result,catalog,2
Ashfield,2010,https://ashfield.org/DocumentCenter/View/63,result,catalog,2
