municipality,year,url,kind,pool,prior_pages
Agawam,2014,https://web.archive.org/web/20151020210845id_/http://www.agawam.ma.us/filestorage/2862/2882/2979/2014_NPDES_Annual_Report.pdf,atr,ocr,89
Attleboro,2010,https://cityofattleboro.us/DocumentCenter/View/12973/Results,atr,ocr,3
Charlemont,2018,https://www.charlemont-ma.us/files/CharlemontTownReportForYearEnding2018.pdf,atr,ocr,114
Chesterfield,2018,https://web.archive.org/web/20180729004531id_/http://www.townofchesterfieldma.com:80/attachments/article/129/2018%20Annual%20Election%20Results.pdf,atr,ocr,1
Foxborough,2012,https://web.archive.org/web/20170207165702id_/http://www.foxboroughma.gov/Pages/FoxboroughMA_Clerk/elections/S019C7E6C.0/11-6-2012%20unofficial%20elec%20results.pdf,atr,ocr,5
Georgetown,2017,https://web.archive.org/web/20230615173928id_/https://www.georgetownma.gov/sites/g/files/vyhlif616/f/uploads/annual_town_report_fy_ending_6.30.2017.pdf,atr,ocr,90
Hampden,2016,https://archives.lib.state.ma.us/server/api/core/bitstreams/42b76caf-a044-458a-adda-1e14fd57dfd8/content,atr,ocr,144
Hinsdale,2007,https://hinsdalemass.com/DocumentCenter/View/292/2007-Annual-Report,atr,ocr,70
Methuen,2017,https://cityofmethuen.net/DocumentCenter/View/629/2017-Certified-Municipal-Election-Results-PDF,atr,ocr,2
Milford,2003,https://web.archive.org/web/20220308072711id_/https://www.milfordma.gov/sites/g/files/vyhlif3466/f/uploads/tom_2003_annual_report.pdf,atr,ocr,198
Mount Washington,2002,https://archives.lib.state.ma.us/server/api/core/bitstreams/f777c719-38b1-47c0-89b0-eebc20b70388/content,atr,ocr,12
Nahant,2007,https://web.archive.org/web/20170126152608id_/http://www.nahant.org/documents/annual_town_reports/Town%20of%20Nahant_Annual%20Report_2007.pdf,atr,ocr,2
Newbury,2018,https://archives.lib.state.ma.us/server/api/core/bitstreams/cb0630c8-d57d-463e-a590-26f0a9124dcc/content,atr,ocr,101
North Brookfield,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/8b417f79-cfaf-40b1-a0ab-07b308609a41/content,atr,ocr,153
Norton,2008,https://archives.lib.state.ma.us/server/api/core/bitstreams/62b06e9b-23c6-44d1-a656-1fcdad9c849b/content,atr,ocr,237
Orange,2012,https://archives.lib.state.ma.us/server/api/core/bitstreams/ea04b1c5-0be7-47ac-8810-40e150facd02/content,atr,ocr,119
Petersham,2011,https://archives.lib.state.ma.us/server/api/core/bitstreams/bf198efd-7302-42c4-a488-955bde2f45ab/content,atr,ocr,103
Randolph,2002,https://randolph-ma.gov/ImageRepository/Document?documentID=142,atr,ocr,9
Springfield,2007,http://www.springfield-ma.gov/elections/fileadmin/elections-2007_2014/Sept_2014_Election_Summary_Certified.pdf,atr,ocr,6
Taunton,2007,https://taunton-ma.gov/DocumentCenter/View/5670/2007-City-Election-Results,atr,ocr,5
Wales,2018,https://townofwales.net/DocumentCenter/View/3533/05-23-2018-Election-Results,atr,ocr,1
Wareham,2012,https://wareham.ma.us/DocumentCenter/View/2826/2012-September-Election-Results-PDF,atr,ocr,4
West Newbury,2011,https://www.wnewbury.org/DocumentCenter/View/1649/2011-Election-Results,atr,ocr,3
Wrentham,2011,https://archives.lib.state.ma.us/server/api/core/bitstreams/49b69ca9-618c-4713-9774-486ead69efaa/content,atr,ocr,112
Attleboro,2011,https://cityofattleboro.us/DocumentCenter/View/12968/Results---Citywide,atr,ocr,3
Blandford,2019,https://townofblandford.gov/wp-content/uploads/2019/04/gateway-agreement.pdf,atr,ocr,22
Charlemont,2020,https://www.charlemont-ma.us/files/CharlemontTownReportForYearEnding2020.pdf,atr,ocr,104
Chelsea,2017,https://cms5.revize.com/revize/bennington/Document%20Center/Government/Annual%20Reports/2017-Annual-Report.pdf,atr,ocr,45
Danvers,2014,https://web.archive.org/web/20161203152815id_/http://www.danversma.gov/vertical/sites/%7BCFC0250F-19AB-46E7-B599-146187CB1799%7D/uploads/Town_Report_2014.pdf,atr,ocr,34
Dover,2011,https://www.doverma.gov/DocumentCenter/View/194/2011-Town-Election-Results-PDF,atr,ocr,1
East Bridgewater,2012,https://eastbridgewaterma.gov/DocumentCenter/View/603/2012-Annual-Town-Report-PDF,atr,ocr,187
Granby,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/9fe92fdc-74e6-456d-96b0-c94cc6f36500/content,atr,ocr,92
Hamilton,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/4233ac72-21e7-4384-9d9f-09ac541af040/content,atr,ocr,66
Hampden,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/2b985b72-055c-44d5-99e5-4e45206b16d3/content,atr,ocr,130
Hinsdale,2008,https://hinsdalemass.com/DocumentCenter/View/239/2008-Annual-Report,atr,ocr,78
Hull,2015,https://www.town.hull.ma.us/DocumentCenter/View/1044,atr,ocr,2
Lynn,2017,https://web.archive.org/web/20200207175109id_/http://lynnma.gov/cityhall_documents/clerk_elections/election_results/primary_results_september_12_2017.pdf,atr,ocr,2
Milford,2004,https://web.archive.org/web/20220302180311id_/https://www.milfordma.gov/sites/g/files/vyhlif3466/f/uploads/tom_2004_annual_report.pdf,atr,ocr,224
Mount Washington,2003,https://archives.lib.state.ma.us/server/api/core/bitstreams/5d6e044d-ede2-4fb1-89e1-828d95b3a380/content,atr,ocr,19
New Ashford,2013,https://archives.lib.state.ma.us/server/api/core/bitstreams/591bb36a-cd7e-4599-9941-94d47cee0ce1/content,atr,ocr,38
Petersham,2012,https://archives.lib.state.ma.us/server/api/core/bitstreams/3081d20f-2514-4554-a4a9-dff3b7b2bd1e/content,atr,ocr,102
Plainville,2016,https://archives.lib.state.ma.us/server/api/core/bitstreams/4a4e6bf3-29e1-422e-824f-5f03c201542c/content,atr,ocr,171
Randolph,2003,https://randolph-ma.gov/ImageRepository/Document?documentID=141,atr,ocr,13
Springfield,2009,https://www.springfield-ma.gov/elections/fileadmin/Past_Election_Results/Election_Results_2009/CITY_PRELIMINARY_SEPT15_2009.pdf,atr,ocr,49
Taunton,2009,https://taunton-ma.gov/DocumentCenter/View/5669/2009-City-Election-Results,atr,ocr,2
Wakefield,2018,https://web.archive.org/web/20220404211840id_/https://www.wakefield.ma.us/sites/g/files/vyhlif3986/f/uploads/official-election-results-2018-11-06.pdf,atr,ocr,11
Wales,2019,https://townofwales.net/DocumentCenter/View/3532/05-22-2019-Election-Results,atr,ocr,1
West Newbury,2012,https://www.wnewbury.org/DocumentCenter/View/1650/2012-Election-Results,atr,ocr,12
Attleboro,2013,https://cityofattleboro.us/DocumentCenter/View/12960/Results---Citywide,atr,ocr,3
Belchertown,2011,https://web.archive.org/web/20120805191836id_/http://www.belchertown.org/belchertown/home/docs/Town_Report_2011.pdf,atr,ocr,151
Charlton,2009,https://archives.lib.state.ma.us/server/api/core/bitstreams/8cd6614c-f769-4490-b399-c1bb926b6768/content,atr,ocr,253
Danvers,2015,https://archives.lib.state.ma.us/server/api/core/bitstreams/0132e143-1949-4a13-9e8e-23e916047cf4/content,atr,ocr,38
Dover,2012,https://doverma.gov/DocumentCenter/View/196/05-21-2012-Town-Election-Results,atr,ocr,1
East Bridgewater,2013,https://web.archive.org/web/20240713033625id_/https://www.eastbridgewaterma.gov/sites/g/files/vyhlif516/f/uploads/2013_annual_town_report.pdf,atr,ocr,182
Hinsdale,2009,https://hinsdalemass.com/DocumentCenter/View/240/2009-Annual-Report,atr,ocr,77
Holden,2012,https://holdenma.gov/ImageRepository/Document?documentID=195,atr,ocr,4
Leominster,2005,https://web.archive.org/web/20100927082840id_/http://leominster-ma.gov/images/images_comptroller_dept/pdfs/annual-report-2005.pdf,atr,ocr,52
Marshfield,2015,https://cms3.revize.com/revize/bellcountytx/departments/elections/docs/11_03_2015_Precinct_by_Precinct_Results_OFFICAL.pdf,atr,ocr,50
Milford,2005,https://web.archive.org/web/20220308072751id_/https://www.milfordma.gov/sites/g/files/vyhlif3466/f/uploads/tom_2005_annual_report.pdf,atr,ocr,206
Mount Washington,2004,https://archives.lib.state.ma.us/server/api/core/bitstreams/57fcdcea-4d76-486a-a502-e3cc6bce5d3a/content,atr,ocr,12
New Ashford,2015,https://www.newashford-ma.us/wp-content/uploads/2015/01/TownReport-May2013.pdf,atr,ocr,38
Northbridge,2018,https://web.archive.org/web/20211228220003id_/https://www.northbridgemass.org/sites/g/files/vyhlif981/f/u67/results_annual_town_election_5.15.2018_0.pdf,atr,ocr,4
Petersham,2013,https://archives.lib.state.ma.us/server/api/core/bitstreams/d1dbee9d-69bc-4999-8f22-ad793c83c221/content,atr,ocr,102
Plainville,2017,https://web.archive.org/web/20211228215401id_/https://www.plainville.ma.us/sites/g/files/vyhlif4871/f/pages/townofplainvilleannualreport2017.pdf,atr,ocr,171
Randolph,2004,https://randolph-ma.gov/ImageRepository/Document?documentID=140,atr,ocr,47
Rowe,2000,https://rowe-ma.gov/files/2000_Annual_Town_Report.pdf,atr,ocr,76
Springfield,2010,https://www.springfield-ma.gov/elections/fileadmin/Past_Election_Results/Election_Results_2010/RESULTS_WARD_2_11022010.pdf,atr,ocr,16
Sunderland,2015,https://archives.lib.state.ma.us/server/api/core/bitstreams/6db040d6-ec40-4919-a606-327b716aef1b/content,atr,ocr,87
Taunton,2011,https://taunton-ma.gov/DocumentCenter/View/5668/2011-City-Election-Results,atr,ocr,2
Wales,2020,https://townofwales.net/DocumentCenter/View/3537/05-27-2020-Election-Results,atr,ocr,1
Wareham,2014,https://wareham.ma.us/DocumentCenter/View/2833/2014-September-Election-Results-PDF,atr,ocr,6
West Newbury,2013,https://www.wnewbury.org/DocumentCenter/View/1651/2013-Election-Results,atr,ocr,4
Attleboro,2015,https://cityofattleboro.us/DocumentCenter/View/12905/Results---Citywide,atr,ocr,3
Belchertown,2015,https://www.belchertown.org/DocumentCenter/View/7958/2015-Annual-Town-Report-Belchertown,atr,ocr,118
Cambridge,2007,https://www.cambridgema.gov/-/media/Files/electioncommission/electionresults/2007officialmunicipalelectionresults.pdf,atr,ocr,4
Danvers,2016,https://web.archive.org/web/20161229005254id_/http://www.danversma.gov/vertical/sites/%7BCFC0250F-19AB-46E7-B599-146187CB1799%7D/uploads/2016_Annual_Town_Election_Final_Results.pdf,atr,ocr,3
Dover,2013,https://doverma.gov/DocumentCenter/View/203/05-20-2013-Town-Election-Results,atr,ocr,1
East Bridgewater,2014,https://web.archive.org/web/20240713033533id_/https://www.eastbridgewaterma.gov/sites/g/files/vyhlif516/f/uploads/2014_annual_town_report.pdf,atr,ocr,189
Georgetown,2020,https://archives.lib.state.ma.us/server/api/core/bitstreams/b1f86c9a-c591-4981-86d7-b3f03f4f430e/content,atr,ocr,112
Granby,2018,https://web.archive.org/web/20230309065405id_/https://www.granby-ma.gov/sites/g/files/vyhlif4466/f/uploads/2018_annual_town_report.pdf,atr,ocr,86
Hinsdale,2010,https://hinsdalemass.com/DocumentCenter/View/241/2010-Annual-Report,atr,ocr,80
Holyoke,2015,https://storage.googleapis.com/5paisa-prod-storage/files/investor_relations/2021-05/postal-ballot-result-as-per-sebi-%28lodr%29-regulation-2015.pdf,atr,ocr,16
Leominster,2006,https://web.archive.org/web/20100927084926id_/http://leominster-ma.gov/images/images_comptroller_dept/pdfs/annual-report-2006.pdf,atr,ocr,53
Lynn,2019,https://web.archive.org/web/20190920201312id_/http://lynnma.gov/cityhall_documents/clerk_elections/election_results/city_of_lynn_election_results_sep_03_2019_unofficial.pdf,atr,ocr,9
Milford,2006,https://web.archive.org/web/20220308071804id_/https://www.milfordma.gov/sites/g/files/vyhlif3466/f/uploads/tom_2006_annual_report.pdf,atr,ocr,249
Mount Washington,2005,https://archives.lib.state.ma.us/server/api/core/bitstreams/4e3f5d9a-afc6-4582-93f8-18391c6d10ca/content,atr,ocr,13
New Ashford,2017,https://www.newashford-ma.us/wp-content/uploads/2017/05/Elections2017-Results.pdf,atr,ocr,1
North Attleborough,2006,https://archives.lib.state.ma.us/server/api/core/bitstreams/2170fb64-d27a-4798-b9cd-d5f11a380b36/content,atr,ocr,266
Norton,2014,https://web.archive.org/web/20151017163748id_/http://www.nortonma.org/Pages/NortonMA_Clerk/EL%20RESULTS/2014.09.09%20PrimVoterInfo.pdf,atr,ocr,1
Palmer,2011,https://archives.lib.state.ma.us/server/api/core/bitstreams/283b6f89-763e-4ff7-88ea-27e07da594d6/content,atr,ocr,81
Pepperell,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/bfe561ee-e6a3-445f-a431-0e056b749e91/content,atr,ocr,138
Petersham,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/275b92ee-2766-4ef5-8c9c-e771ee232888/content,atr,ocr,113
Princeton,2010,https://storage.googleapis.com/proudcity/princetonma/2025/09/2010_report.pdf,atr,ocr,118
Quincy,2004,https://web.archive.org/web/20110104195259id_/http://www.quincyma.gov/CityOfQuincy_Content/documents/AnnualReport2004.pdf,atr,ocr,48
Randolph,2005,https://randolph-ma.gov/ImageRepository/Document?documentID=139,atr,ocr,18
Rowe,2001,https://rowe-ma.gov/files/2001_Annual_Town_Report.pdf,atr,ocr,72
Scituate,2020,https://scituatema.gov/DocumentCenter/View/890/2020_annual_town_election_unofficial_resultspdf,atr,ocr,1
Taunton,2013,https://taunton-ma.gov/DocumentCenter/View/5667/2013-City-Election-Results,atr,ocr,1
Wareham,2015,https://wareham.ma.us/DocumentCenter/View/2835/2015-April-Election-Results-PDF,atr,ocr,3
Wellesley,2012,https://wellesleyma.gov/DocumentCenter/View/7902/Morses-Pond-2012-Annual-Report-PDF,atr,ocr,28
West Newbury,2014,https://www.wnewbury.org/DocumentCenter/View/1652/2014-Election-Results,atr,ocr,10
Wrentham,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/ab1f9155-e8ed-4192-94fd-be7e54355ee3/content,atr,ocr,130
