municipality,year,url,kind,pool,prior_pages
Monson,2020,https://web.archive.org/web/20211117035414id_/https://www.monson-ma.gov/sites/g/files/vyhlif926/f/uploads/collectors_2020_annual_town_report_0.pdf,atr,ocr,6
Mount Washington,2006,https://archives.lib.state.ma.us/server/api/core/bitstreams/f1d98a81-c222-4317-a299-aa8f872ff4c7/content,atr,ocr,15
New Ashford,2018,https://www.newashford-ma.us/wp-content/uploads/2018/05/TownReport2018Final.pdf,atr,ocr,38
Petersham,2015,https://archives.lib.state.ma.us/server/api/core/bitstreams/629332cf-2dcc-4fd6-9446-08aff11e327c/content,atr,ocr,128
Quincy,2005,https://web.archive.org/web/20110104195106id_/http://www.quincyma.gov/CityOfQuincy_Content/documents/AnnualReport2005.pdf,atr,ocr,51
Randolph,2006,https://randolph-ma.gov/ImageRepository/Document?documentID=138,atr,ocr,6
Rowe,2002,https://rowe-ma.gov/files/2002_Annual_Town_Report.pdf,atr,ocr,70
Seekonk,2008,https://archives.lib.state.ma.us/server/api/core/bitstreams/d09e4574-8522-4568-a2ad-587082cfe5be/content,atr,ocr,230
Springfield,2012,https://www.springfield-ma.gov/cos/fileadmin/clerk/2012/CPHB_Annual_report_with_Appendix_3_20_14.pdf,atr,ocr,36
Taunton,2015,https://web.archive.org/web/20170125163608id_/http://www.taunton-ma.gov/sites/tauntonma/files/uploads/official_city_election_results_by_ward_11-3-2015_0.pdf,atr,ocr,16
Wales,2002,https://townofwales.net/DocumentCenter/View/3518/05-28-2002-Election-Results,atr,ocr,1
West Newbury,2015,https://www.wnewbury.org/DocumentCenter/View/1653/2015-Election-Results,atr,ocr,3
Ashfield,2020,https://ashfield.org/DocumentCenter/View/8529,atr,ocr,2
Attleboro,2018,https://www.cityofattleboro.us/DocumentCenter/View/2972,atr,ocr,7
Belchertown,2017,https://www.belchertown.org/DocumentCenter/View/7960/2017-Annual-Town-Report-Belchertown,atr,ocr,137
Brimfield,2017,https://web.archive.org/web/20171017205009id_/http://www.brimfieldma.org/Pages/2017electionresults.pdf,atr,ocr,1
Charlton,2013,https://archives.lib.state.ma.us/server/api/core/bitstreams/cf17993f-aff8-4c20-b227-84fe48b1d984/content,atr,ocr,53
Dover,2015,https://www.doverma.gov/DocumentCenter/View/212/05-18-2015-Annual-Town-Election-Results-PDF,atr,ocr,1
East Bridgewater,2016,https://eastbridgewaterma.gov/DocumentCenter/View/595/2016-Annual-Town-Report-PDF,atr,ocr,184
Granville,2008,https://archives.lib.state.ma.us/server/api/core/bitstreams/357b66b0-045c-4173-b521-4c0d30954568/content,atr,ocr,113
Hinsdale,2012,https://hinsdalemass.com/DocumentCenter/View/243/2012-Annual-Report,atr,ocr,75
Lawrence,2015,https://www.cityoflawrence.com/DocumentCenter/View/453,atr,ocr,33
Leominster,2008,https://web.archive.org/web/20100927090211id_/http://leominster-ma.gov/images/images_comptroller_dept/pdfs/annual-report-2008.pdf,atr,ocr,57
Lowell,2005,https://web.archive.org/web/20060719221631id_/http://www.lowellma.gov:80/depts/electioncensus/2005-results.pdf,atr,ocr,7
Middlefield,2018,https://archives.lib.state.ma.us/server/api/core/bitstreams/d5168d0e-af28-4afb-b36f-f4df77a834d0/content,atr,ocr,98
Mount Washington,2007,https://archives.lib.state.ma.us/server/api/core/bitstreams/bde2d6ba-9fed-44ab-b378-988b8e7f1840/content,atr,ocr,14
New Ashford,2019,https://www.newashford-ma.us/wp-content/uploads/2019/05/ElectionResultMay2019-2.pdf,atr,ocr,1
Petersham,2016,https://archives.lib.state.ma.us/server/api/core/bitstreams/9b4b82bc-acbb-46a5-836f-8e6f8e31ebba/content,atr,ocr,166
Quincy,2006,https://web.archive.org/web/20110104195401id_/http://www.quincyma.gov/CityOfQuincy_Content/documents/AnnualReport2006.pdf,atr,ocr,51
Randolph,2008,https://randolph-ma.gov/ImageRepository/Document?documentID=137,atr,ocr,30
Rowe,2003,https://rowe-ma.gov/files/2003_Annual_Town_Report.pdf,atr,ocr,96
Seekonk,2009,https://archives.lib.state.ma.us/server/api/core/bitstreams/0cd8abc5-e8d0-4de2-952a-7945561bdf5c/content,atr,ocr,213
Springfield,2013,https://www.springfield-ma.gov/cos/fileadmin/law/CPHB/CPHB_Annual_Reports_2012_and_2013.pdf,atr,ocr,36
Taunton,2017,https://taunton-ma.gov/DocumentCenter/View/5665/2017-City-Election-Results,atr,ocr,2
Wales,2003,https://townofwales.net/DocumentCenter/View/3517/05-27-2003-Election-Results,atr,ocr,1
Wareham,2017,https://web.archive.org/web/20170724181337id_/http://www.wareham.ma.us:80/system/files/uploads/2017_spring_town_election_results_0.pdf,atr,ocr,2
West Boylston,2020,https://www.westboylston-ma.gov/sites/g/files/vyhlif1421/f/pages/west_boylston_ma_-_year_3_ms4_annual_report_-_2020-2021.pdf,atr,ocr,16
Westborough,2019,https://ma-westborough.civicplus.com/DocumentCenter/View/512/2019-Annual-Town-Election-Results-PDF,atr,ocr,1
Worcester,2000,https://web.archive.org/web/20100531194904id_/http://www.worcesterma.gov/election-results/2000-2009/20040302.pdf,atr,ocr,55
Attleboro,2019,https://cityofattleboro.us/DocumentCenter/View/12893/Results---Citywide,atr,ocr,18
Belchertown,2018,https://www.belchertown.org/DocumentCenter/View/7961/2018-Annual-Town-Report-Belchertown,atr,ocr,144
Blandford,2002,https://townofblandford.gov/wp-content/uploads/2016/04/report2001-2002.pdf,atr,ocr,61
Brimfield,2018,https://www.brimfieldma.org/sites/g/files/vyhlif4181/f/uploads/brimfield_ma_11.6.2018_election_results.pdf,atr,ocr,8
Chilmark,2007,https://web.archive.org/web/20161227115438id_/http://www.chilmarkma.gov/Pages/ChilmarkMA_Annual/2006%20annual%20reports/2007_03_21_10_50_39.pdf,atr,ocr,4
Dover,2016,https://www.doverma.gov/DocumentCenter/View/219/05-16-2016-Annual-Town-Election-Results,atr,ocr,1
East Bridgewater,2017,https://eastbridgewaterma.gov/DocumentCenter/View/596/2017-Annual-Town-Report-PDF,atr,ocr,172
Grafton,2012,https://web.archive.org/web/20151022190919id_/http://www.grafton-ma.gov:80/sites/graftonma/files/uploads/together_we_can_annual_report_2012.pdf,atr,ocr,1
Granville,2009,https://archives.lib.state.ma.us/server/api/core/bitstreams/a9ecaf6a-de4d-43f8-ba21-e4a3d09d8b90/content,atr,ocr,91
Hampden,2000,https://web.archive.org/web/20230624040911id_/https://www.hampdenma.gov/sites/g/files/vyhlif656/f/uploads/2000_annual_town_reportpartb.pdf,atr,ocr,30
Hancock,2020,http://town.hancock.ma.us/files/2020/11/NOVEMBER-3rd-ELECTION-RESULTS.pdf,atr,ocr,1
Hinsdale,2013,https://hinsdalemass.com/DocumentCenter/View/244/2013-Annual-Report,atr,ocr,74
Leominster,2009,https://web.archive.org/web/20100927092200id_/http://leominster-ma.gov/images/images_comptroller_dept/pdfs/annual_report_2009.pdf,atr,ocr,56
Lowell,2015,http://www.lowellma.gov/DocumentCenter/View/500/2015-11-03-Offical-Municipal-Election-Results-PDF,atr,ocr,1
Marshfield,2019,https://cms3.revize.com/revize/bellcountytx/elections/11.5.2019_Summary_Results.pdf,atr,ocr,6
Middleton,2010,https://middletonma.gov/DocumentCenter/View/1566/May-17-2010-Annual-Town-Election-Official-Results,atr,ocr,2
Mount Washington,2008,https://archives.lib.state.ma.us/server/api/core/bitstreams/ec3b58b7-c583-4f2f-a71a-23046ced9b58/content,atr,ocr,15
New Ashford,2020,https://www.newashford-ma.us/wp-content/uploads/2020/04/AnnualTownReport2019.pdf,atr,ocr,40
Petersham,2017,https://townofpetersham.gov/wp-content/uploads/2025/12/FY17-Town-report-2016-2017.pdf,atr,ocr,166
Quincy,2007,https://web.archive.org/web/20110104195737id_/http://www.quincyma.gov/CityOfQuincy_Content/documents/AnnualReport2007.pdf,atr,ocr,50
Randolph,2009,https://randolph-ma.gov/ImageRepository/Document?documentID=136,atr,ocr,49
Rockland,2015,https://web.archive.org/web/20161227011415id_/http://www.rockland-ma.gov/sites/rocklandma/files/uploads/sra_2015_annual_report.pdf,atr,ocr,6
Rowe,2004,https://rowe-ma.gov/files/2004_Annual_Town_Report.pdf,atr,ocr,98
Salem,2000,https://web.archive.org/web/20251013131001id_/https://www.salemma.gov/DocumentCenter/View/1670/2000-to-2009-Election-Results-PDF,atr,ocr,111
Seekonk,2010,https://archives.lib.state.ma.us/server/api/core/bitstreams/91364c96-e25f-434b-9457-a269b48715fe/content,atr,ocr,204
Taunton,2019,https://taunton-ma.gov/DocumentCenter/View/5664/2019-City-Election-Results-,atr,ocr,1
Wales,2004,https://townofwales.net/DocumentCenter/View/3519/05-25-2004-Election-Results,atr,ocr,1
Ware,2014,https://cms1files.revize.com/cityofalbion/document_center/AgendasMinutes/2014%20Annual%20Report.pdf,atr,ocr,5
Wareham,2018,https://web.archive.org/web/20180412105812id_/http://www.wareham.ma.us:80/sites/warehamma/files/uploads/electionresults2018.pdf,atr,ocr,2
West Bridgewater,2015,https://web.archive.org/web/20170307185245id_/http://www.westbridgewaterma.org/document_center/Water/Annual%20Reports/2015%20CCR.pdf,atr,ocr,6
Bedford,2005,https://web.archive.org/web/20060627054256id_/http://www.bedfordnh.org:80/dept/townmanager/townreport2005.pdf,atr,ocr,146
Belchertown,2019,https://www.belchertown.org/DocumentCenter/View/7962/2019-Annual-Town-Report-Belchertown,atr,ocr,139
Blandford,2004,https://townofblandford.gov/wp-content/uploads/2016/04/report2003-2004.pdf,atr,ocr,72
