municipality,year,url,kind,pool,prior_status,prior_chars,prior_pages
Attleboro,2005,https://cityofattleboro.us/DocumentCenter/View/12987/Results---Citywide-and-by-precinct,atr,section,OK,22792,13
Attleboro,2007,https://cityofattleboro.us/DocumentCenter/View/12983/Results---Citywide,atr,section,OK,10746,3
Attleboro,2009,https://cityofattleboro.us/DocumentCenter/View/12978/Results---All-Wards,atr,section,OK,6259,3
Attleboro,2010,https://cityofattleboro.us/DocumentCenter/View/12973/Results,atr,section,RETRY,1563,3
Attleboro,2011,https://cityofattleboro.us/DocumentCenter/View/12968/Results---Citywide,atr,section,OK,6660,3
Attleboro,2013,https://cityofattleboro.us/DocumentCenter/View/12960/Results---Citywide,atr,section,OK,5816,3
Attleboro,2015,https://cityofattleboro.us/DocumentCenter/View/12905/Results---Citywide,atr,section,OK,6336,3
Attleboro,2017,https://cityofattleboro.us/DocumentCenter/View/12899/Results-Citywide,atr,section,OK,4653,6
Attleboro,2018,https://www.cityofattleboro.us/DocumentCenter/View/2972,atr,section,OK,9806,7
Attleboro,2019,https://cityofattleboro.us/DocumentCenter/View/12893/Results---Citywide,atr,section,OK,4618,18
Avon,2008,https://web.archive.org/web/20220812200004id_/https://www.avon-ma.gov/sites/g/files/vyhlif271/f/uploads/2008_annual_town_report.pdf,atr,section,RETRY,705,208
Avon,2009,https://web.archive.org/web/20220812195143id_/https://www.avon-ma.gov/sites/g/files/vyhlif271/f/uploads/2009_annual_town_report.pdf,atr,section,RETRY,668,196
Avon,2010,https://web.archive.org/web/20161226184543id_/http://www.avon-ma.gov/sites/avonma/files/file/file/townreport2010.pdf,atr,section,OK,545293,272
Avon,2011,https://web.archive.org/web/20220812205939id_/https://www.avon-ma.gov/sites/g/files/vyhlif271/f/uploads/annual_town_report_2011.pdf,atr,section,RETRY,199,200
Avon,2012,https://web.archive.org/web/20250224053525id_/https://www.avon-ma.gov/sites/g/files/vyhlif271/f/uploads/2012_annual_town_report.pdf,atr,section,OK,300465,200
Avon,2013,https://web.archive.org/web/20161203003429id_/http://www.avon-ma.gov/sites/avonma/files/u121/avon_2013_town_report.pdf,atr,section,OK,549753,294
Avon,2014,https://web.archive.org/web/20161203003412id_/http://www.avon-ma.gov/sites/avonma/files/u121/annual_town_report_2014.pdf,atr,section,OK,348179,218
Avon,2015,https://web.archive.org/web/20250224070355id_/https://www.avon-ma.gov/sites/g/files/vyhlif271/f/uploads/2015_annual_town_report.pdf,atr,section,OK,254795,197
Avon,2017,https://web.archive.org/web/20220812203509id_/https://www.avon-ma.gov/sites/g/files/vyhlif271/f/uploads/town_of_avon_annual_town_report_2017.pdf,atr,section,OK,53557,152
Ayer,2005,http://www.ayer.ma.us:80/Downloads/decannualreport2005.pdf,atr,section,RETRY,0,0
Ayer,2010,https://web.archive.org/web/20120912065255id_/http://www.ayer.ma.us/pages/AyerMA_About/2010-town_report.pdf,atr,section,OK,329470,254
