municipality,year,election_date,registered,basis
Gloucester,2025,2025-11-04,23071,carried
Goshen,2021,2021-05-01,798,interpolated
Goshen,2022,2022-06-04,797,interpolated
Goshen,2023,2023-06-03,764,interpolated
Goshen,2024,2024-06-01,791,interpolated
Goshen,2025,2025-06-07,798,carried
Goshen,2026,2026-06-06,798,carried
Gosnold,2024,2024-05-20,107,interpolated
Gosnold,2025,2025-05-19,97,carried
Grafton,2021,2021-05-22,13786,interpolated
Grafton,2022,2022-05-17,14063,interpolated
Grafton,2023,2023-05-16,14370,interpolated
Grafton,2024,2024-05-21,15018,interpolated
Grafton,2025,2025-05-20,15224,carried
Grafton,2026,2026-05-19,15224,carried
Granby,2021,2021-05-17,4793,interpolated
Granby,2022,2022-05-16,4887,interpolated
Granby,2023,2023-05-15,4915,interpolated
Granby,2024,2024-05-20,5091,interpolated
Granby,2025,2025-05-19,5087,carried
Granby,2026,2026-05-18,5087,carried
Granville,2021,2021-04-12,1161,interpolated
Granville,2022,2022-04-11,1196,interpolated
Granville,2023,2023-04-10,1225,interpolated
Granville,2024,2024-04-08,1258,snapshot
Granville,2025,2025-04-07,1275,carried
Great Barrington,2021,2021-05-11,5101,interpolated
Great Barrington,2022,2022-05-10,5104,interpolated
Great Barrington,2023,2023-05-09,4930,interpolated
Great Barrington,2024,2024-05-14,5091,interpolated
Great Barrington,2025,2025-05-13,5250,carried
Great Barrington,2026,2026-05-12,5250,carried
Greenfield,2021,2021-11-02,13058,interpolated
Greenfield,2023,2023-11-07,13054,interpolated
Greenfield,2025,2025-11-04,14008,carried
Groton,2021,2021-05-25,8741,interpolated
Groton,2022,2022-05-24,8757,interpolated
Groton,2023,2023-05-23,8715,interpolated
Groton,2024,2024-04-23,8967,interpolated
Groton,2025,2025-05-20,8898,carried
Groton,2026,2026-05-19,8898,carried
Groveland,2021,2021-05-03,5469,interpolated
Groveland,2022,2022-05-02,5456,interpolated
