municipality,year,url,kind,pool,item_uuid
Franklin,2019,https://archives.lib.state.ma.us/server/api/core/bitstreams/97c832bf-876c-418a-a12c-3b5b9350e9c7/content,atr_dspace,dspace,5141adc0-93ef-4310-92b7-9a14c38e5f83
Franklin,2020,https://archives.lib.state.ma.us/server/api/core/bitstreams/af9f4b70-5a0f-47b1-a41a-99940b55abdb/content,atr_dspace,dspace,3bebd09e-2ecf-42ec-a1a2-8db428f2c63c
Franklin,2021,https://archives.lib.state.ma.us/server/api/core/bitstreams/2706f7f6-f3c6-4437-afd7-67717d29b5cd/content,atr_dspace,dspace,9841cae5-df7a-476f-b333-51854146a331
Gardner,2005,https://archives.lib.state.ma.us/server/api/core/bitstreams/c4d6085c-3490-4a39-a3ba-1c295bcb5940/content,atr_dspace,dspace,33b29ae0-e79c-4003-bfe6-f98fca2bd5bb
Gardner,2006,https://archives.lib.state.ma.us/server/api/core/bitstreams/b8b79fd9-cde6-4a45-9d73-7d3e3a9e9366/content,atr_dspace,dspace,05c198ca-0a69-4521-8015-03614499d40a
Georgetown,2002,https://archives.lib.state.ma.us/server/api/core/bitstreams/f154e5e8-b479-4d2f-becc-c23a91dfbb16/content,atr_dspace,dspace,4ad17591-a3c5-4d30-bbef-797b08835446
Georgetown,2009,https://archives.lib.state.ma.us/server/api/core/bitstreams/f3de6fcd-5878-4c87-a90f-e720e6c5846e/content,atr_dspace,dspace,526bdcff-c483-4ad1-b68e-7ca357f217c3
Georgetown,2018,https://archives.lib.state.ma.us/server/api/core/bitstreams/2a6f8a55-8f9b-4b1f-8f95-ef58640eaf58/content,atr_dspace,dspace,6bd96676-d45b-42f3-90bc-5c37f0e019c3
Georgetown,2013,https://archives.lib.state.ma.us/server/api/core/bitstreams/b7a2831e-3a0e-4462-b4b0-68af02e20df9/content,atr_dspace,dspace,c3a0cd62-9490-4b19-b889-8836b3825e44
Georgetown,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/51ba25f1-f256-4cac-9897-f94320829ffb/content,atr_dspace,dspace,a229fe16-6470-46e8-85a7-06c474dda6d4
Georgetown,2016,https://archives.lib.state.ma.us/server/api/core/bitstreams/93dba560-25fc-4d8d-bc70-75b4ec5fce67/content,atr_dspace,dspace,9601c5ad-cb09-4cce-a6db-8a6d11b083d3
Georgetown,2011,https://archives.lib.state.ma.us/server/api/core/bitstreams/4422baca-befa-4df0-8a81-256bfb591e93/content,atr_dspace,dspace,aa09eeb0-9b04-4187-adcd-7f6d297c5f1f
Georgetown,2015,https://archives.lib.state.ma.us/server/api/core/bitstreams/e9e23e9c-93b1-4a23-aa9f-2cea4004b153/content,atr_dspace,dspace,ab39b54f-f8b4-467e-9e12-5580565532b4
Georgetown,2007,https://archives.lib.state.ma.us/server/api/core/bitstreams/bb7091c6-c1fc-44af-8145-d059f1dc1245/content,atr_dspace,dspace,adae954d-7ffe-48f1-8143-f4dddd363b3c
Georgetown,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/f0cea225-001f-4e17-85f3-6a24aa3d5b99/content,atr_dspace,dspace,ae3ab351-6aca-40ef-ae6d-6591bb75430b
Georgetown,2020,https://archives.lib.state.ma.us/server/api/core/bitstreams/b1f86c9a-c591-4981-86d7-b3f03f4f430e/content,atr_dspace,dspace,82a71002-ab60-483d-a17b-16d919ecdc28
Georgetown,2008,https://archives.lib.state.ma.us/server/api/core/bitstreams/1fa0b72f-ebee-4478-807e-9019c2686400/content,atr_dspace,dspace,863738c1-d211-44be-8e28-e3e069f9be51
Georgetown,2010,https://archives.lib.state.ma.us/server/api/core/bitstreams/0788a38a-5361-4290-94b8-7ed663657219/content,atr_dspace,dspace,9ae267ca-1104-4a97-8a27-5b4ec6a406f2
Georgetown,2012,https://archives.lib.state.ma.us/server/api/core/bitstreams/c6951c80-02be-4e9f-a7b8-dc3a2d83dbc6/content,atr_dspace,dspace,970ff597-bbc6-4a66-8125-28353e969ba5
Granby,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/9fe92fdc-74e6-456d-96b0-c94cc6f36500/content,atr_dspace,dspace,383c8e7d-468a-490a-b054-536ca4b3c9c1
Granby,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/3fa90fb2-cac1-42df-adae-e06d07d03ed7/content,atr_dspace,dspace,42d21482-04b0-4a70-8e79-cdad42f36f81
Granby,2008,https://archives.lib.state.ma.us/server/api/core/bitstreams/070b61b4-c70a-41d7-9649-2167591f233a/content,atr_dspace,dspace,7dc048fa-13c5-44ba-bc9b-0b1e3a916a94
Granby,2018,https://archives.lib.state.ma.us/server/api/core/bitstreams/c4577b5f-e19f-4b5d-8a21-b7145e38c3f0/content,atr_dspace,dspace,ee908e18-680e-46ed-a7af-b812ebc39823
Granby,2006,https://archives.lib.state.ma.us/server/api/core/bitstreams/54e0a4bf-a4cb-4273-94b8-0a49a621f87b/content,atr_dspace,dspace,fe6fbd6c-a88e-40e4-a60d-40c00563ebf8
Granby,2007,https://archives.lib.state.ma.us/server/api/core/bitstreams/25058a1e-8593-4be0-9e36-535438c8fd28/content,atr_dspace,dspace,f799a59c-b063-453d-bc98-89e4e6ea9bba
Granville,2020,https://archives.lib.state.ma.us/server/api/core/bitstreams/c9ed9ce7-a46d-4f62-aa46-343989574c1f/content,atr_dspace,dspace,4ccba6c5-86db-43f5-b80e-13650abc2413
Granville,2018,https://archives.lib.state.ma.us/server/api/core/bitstreams/63aa836d-d700-4a60-aabb-a1b6dad051ba/content,atr_dspace,dspace,3e05d1ff-0a02-4c3c-908b-7b543f1738a5
Granville,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/2f6457b4-2d12-42b9-8dff-1252a2b8b578/content,atr_dspace,dspace,77c7febb-3a1d-44f3-ba25-9a895c4f9cf3
