municipality,predicted_2026_date,route
Spencer,2026-05-12,NEWS
Sterling,2026-05-11,NEWS
Stockbridge,2026-05-19,OFFICIAL
Stoneham,2026-04-07,NEWS
Stoughton,2026-04-07,OFFICIAL
Stow,2026-05-16,OFFICIAL
Sturbridge,2026-04-13,OFFICIAL
Sudbury,2026-03-23,OFFICIAL
Sunderland,2026-05-02,OFFICIAL
Sutton,2026-05-26,OFFICIAL
Swampscott,2026-04-28,OFFICIAL
Swansea,2026-04-13,NEWS
Templeton,2026-05-18,OFFICIAL
Tewksbury,2026-04-04,NEWS
Tisbury,,NEWS
Tolland,,COLD_OFFICIAL
Topsfield,,OFFICIAL
Townsend,2026-04-27,OFFICIAL
Truro,2026-05-12,OFFICIAL
Tyngsborough,2026-05-19,OFFICIAL
Tyringham,2026-05-18,OFFICIAL
Upton,2026-05-12,OFFICIAL
Uxbridge,2026-05-19,OFFICIAL
Wakefield,2026-04-28,OFFICIAL
Wales,2026-05-27,NEWS
Walpole,2026-06-06,OFFICIAL
Ware,2026-04-13,OFFICIAL
Wareham,2026-05-05,OFFICIAL
Warren,2026-05-05,OFFICIAL
Warwick,2026-05-18,OFFICIAL
Washington,2026-05-16,OFFICIAL
Wayland,2026-05-12,NEWS
Webster,2026-05-04,OFFICIAL
Wellesley,2026-03-03,NEWS
Wellfleet,2026-05-04,OFFICIAL
Wendell,2026-05-04,NEWS
Wenham,2026-04-02,NEWS
West Boylston,2026-06-02,NEWS
West Bridgewater,2026-04-11,NEWS
West Brookfield,2026-05-05,NEWS
West Newbury,,OFFICIAL
West Stockbridge,2026-05-11,OFFICIAL
West Tisbury,2026-04-09,OFFICIAL
Westborough,2026-03-10,NEWS
Westford,2026-05-05,OFFICIAL
Westhampton,,NEWS
Westminster,2026-04-28,OFFICIAL
Weston,2026-05-02,OFFICIAL
Westport,2026-04-14,OFFICIAL
Westwood,,NEWS
Whately,2026-06-09,OFFICIAL
Whitman,2026-05-16,NEWS
Wilbraham,2026-05-16,NEWS
Williamsburg,2026-05-04,OFFICIAL
Williamstown,2026-05-12,OFFICIAL
Wilmington,2026-04-25,NEWS
Winchendon,2026-05-04,NEWS
Winchester,2026-03-21,NEWS
Windsor,2026-05-11,NEWS
Worthington,2026-05-03,OFFICIAL
Wrentham,2026-04-06,OFFICIAL
Yarmouth,2026-05-19,OFFICIAL
