municipality,year,url,kind,pool,item_uuid
Westwood,2008,https://archives.lib.state.ma.us/server/api/core/bitstreams/ded0b5d3-9739-445b-bb64-0bf449ea364c/content,atr_recover,dspace_recover,6d22d916-09e4-4f34-9010-52f551d20f8f
Newbury,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/6869dde9-25f2-4386-8fd1-f1faa127710a/content,atr_recover,dspace_recover,6e9b89ec-2dff-4032-9463-e1cc55b8a9e4
Mount Washington,2009,https://archives.lib.state.ma.us/server/api/core/bitstreams/57e1c5c3-cae2-4220-b9f3-5c1d3634d8a6/content,atr_recover,dspace_recover,7478ea12-91c8-4d2b-ae7b-e30468102dc1
Pepperell,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/bfe561ee-e6a3-445f-a431-0e056b749e91/content,atr_recover,dspace_recover,77b11ae5-e23b-4426-a500-228079910122
Granville,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/2f6457b4-2d12-42b9-8dff-1252a2b8b578/content,atr_recover,dspace_recover,77c7febb-3a1d-44f3-ba25-9a895c4f9cf3
Lee,2003,https://archives.lib.state.ma.us/server/api/core/bitstreams/87a54546-140e-4f9e-912f-591c6eac365b/content,atr_recover,dspace_recover,79a3fc7b-7389-4257-96b7-bd607234cab9
Newbury,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/24282e2e-903d-430b-95aa-d5fd5917d48b/content,atr_recover,dspace_recover,7ab9b567-c129-473d-9047-a7bc1dbba83d
Mount Washington,2007,https://archives.lib.state.ma.us/server/api/core/bitstreams/bde2d6ba-9fed-44ab-b378-988b8e7f1840/content,atr_recover,dspace_recover,7d6bffcc-272a-40c9-b04b-658d7e1471ab
Granby,2008,https://archives.lib.state.ma.us/server/api/core/bitstreams/070b61b4-c70a-41d7-9649-2167591f233a/content,atr_recover,dspace_recover,7dc048fa-13c5-44ba-bc9b-0b1e3a916a94
Mattapoisett,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/997e9fb1-9230-43f0-891b-16eee8027bf9/content,atr_recover,dspace_recover,809217a9-6dfa-45c5-b510-c540b270bbe2
Georgetown,2020,https://archives.lib.state.ma.us/server/api/core/bitstreams/b1f86c9a-c591-4981-86d7-b3f03f4f430e/content,atr_recover,dspace_recover,82a71002-ab60-483d-a17b-16d919ecdc28
