town,town_norm,eohlc_category,governing_body,deadline_year,in_old_roster,massgis_status,adoption_date
North Attleborough,northattleborough,Adjacent community,City Council,2024,1,Compliant,2024-12-27
North Reading,northreading,Adjacent community,Select Board,2024,1,Compliant,2025-06-10
Northborough,northborough,Adjacent community,Select Board,2024,1,Compliant,2024-09-27
Northbridge,northbridge,Adjacent community,Select Board,2024,1,Compliant,2023-09-11
Norton,norton,Adjacent community,Select Board,2024,1,Compliant,2025-05-22
Norwell,norwell,Adjacent community,Select Board,2024,1,Compliant,
Norwood,norwood,Commuter Rail,Select Board,2025,1,Compliant,2023-12-11
Paxton,paxton,Adjacent small town,Select Board,2024,1,Compliant,2025-12-08
Peabody,peabody,Adjacent community,City Council,2025,1,Compliant,2024-12-10
Pembroke,pembroke,Adjacent community,Select Board,2024,1,Compliant,2023-05-02
Plymouth,plymouth,Adjacent community,Select Board,2024,1,Compliant,2025-05-29
Plympton,plympton,Adjacent small town,Select Board,2024,1,Compliant,2025-05-22
Princeton,princeton,Adjacent small town,Select Board,2024,1,,
Quincy,quincy,Rapid Transit,City Council,2023,1,Compliant,2024-01-30
Randolph,randolph,Commuter Rail,City Council,2025,1,Compliant,2024-08-27
Raynham,raynham,Adjacent community,Select Board,2024,1,Compliant,2025-05-22
Reading,reading,Commuter Rail,Select Board,2025,1,Compliant,2025-01-02
Rehoboth,rehoboth,Adjacent small town,Select Board,2024,1,Compliant,2026-07-06
Revere,revere,Rapid Transit,City Council,2023,1,Compliant,2023-12-15
Rochester,rochester,Adjacent small town,Select Board,2024,1,Compliant,
Rockland,rockland,Adjacent community,Select Board,2024,1,Compliant,2024-09-30
Rockport,rockport,Commuter Rail,Select Board,2024,1,Compliant,2024-09-20
Rowley,rowley,Commuter Rail,Select Board,2024,1,Compliant,2025-07-07
Salem,salem,Commuter Rail,City Council,2025,1,Compliant,2023-06-08
Salisbury,salisbury,Adjacent community,Select Board,2024,1,Compliant,2024-10-09
Saugus,saugus,Adjacent community,Select Board,2025,1,Compliant,2025-06-17
Scituate,scituate,Commuter Rail,Select Board,2024,1,Compliant,
Seekonk,seekonk,Adjacent community,Select Board,2024,1,Compliant,2025-01-22
Sharon,sharon,Commuter Rail,Select Board,2024,1,Compliant,2024-07-31
Sherborn,sherborn,Adjacent small town,Select Board,2024,1,Compliant,2025-05-29
Shirley,shirley,Commuter Rail,Select Board,2024,1,Compliant,2024-08-28
Shrewsbury,shrewsbury,Adjacent community,Select Board,2024,1,Compliant,2025-03-25
Somerville,somerville,Rapid Transit,City Council,2023,1,Compliant,2023-12-12
Southborough,southborough,Commuter Rail,Select Board,2024,1,Compliant,2024-09-16
Sterling,sterling,Adjacent small town,Select Board,2024,1,Compliant,2025-10-22
Stoneham,stoneham,Adjacent community,Select Board,2025,1,Compliant,2024-07-15
Stoughton,stoughton,Commuter Rail,Select Board,2024,1,Compliant,2024-10-24
Stow,stow,Adjacent small town,Select Board,2024,1,Compliant,2025-07-31
Sudbury,sudbury,Adjacent community,Select Board,2024,1,Compliant,2024-07-02
Sutton,sutton,Adjacent small town,Select Board,2024,1,Compliant,2025-05-23
Swampscott,swampscott,Commuter Rail,Select Board,2025,1,Compliant,2024-06-03
Taunton,taunton,Commuter Rail,City Council,2024,1,Compliant,2024-04-26
Tewksbury,tewksbury,Adjacent community,Select Board,2024,1,,
Topsfield,topsfield,Adjacent small town,Select Board,2024,1,Compliant,
Townsend,townsend,Adjacent small town,Select Board,2024,1,Compliant,2025-04-08
Tyngsborough,tyngsborough,Adjacent community,Select Board,2024,1,Compliant,2024-06-26
Upton,upton,Adjacent small town,Select Board,2024,1,Compliant,2025-05-01
Wakefield,wakefield,Commuter Rail,Select Board,2025,1,Compliant,2025-01-08
Walpole,walpole,Commuter Rail,Select Board,2025,1,Compliant,2024-08-05
Waltham,waltham,Commuter Rail,City Council,2025,1,Compliant,
Wareham,wareham,Adjacent community,Select Board,2024,1,,
Watertown,watertown,Adjacent community,City Council,2025,1,Compliant,2024-12-06
Wayland,wayland,Adjacent community,Select Board,2024,1,Compliant,2024-08-26
Wellesley,wellesley,Commuter Rail,Select Board,2023,1,Compliant,
Wenham,wenham,Commuter Rail,Select Board,2024,1,,
West Boylston,westboylston,Adjacent community,Select Board,2024,1,Compliant,2024-12-19
West Bridgewater,westbridgewater,Adjacent small town,Select Board,2024,1,,2025-04-23
West Newbury,westnewbury,Adjacent small town,Select Board,2024,1,Compliant,2025-11-07
Westborough,westborough,Commuter Rail,Select Board,2024,1,Compliant,2024-09-06
Westford,westford,Adjacent community,Select Board,2024,1,Compliant,2023-12-28
Westminster,westminster,Adjacent small town,Select Board,2024,1,Compliant,2025-08-25
Weston,weston,Commuter Rail,Select Board,2023,1,Compliant,2025-10-30
Westwood,westwood,Commuter Rail,Select Board,2025,1,Compliant,2024-11-14
Weymouth,weymouth,Commuter Rail,City Council,2025,1,Compliant,2024-04-02
Whitman,whitman,Commuter Rail,Select Board,2024,1,Compliant,2024-10-17
Wilmington,wilmington,Commuter Rail,Select Board,2025,1,,
Winchester,winchester,Commuter Rail,Select Board,2025,1,Compliant,2024-12-05
Winthrop,winthrop,Adjacent community,City Council,2023,1,,
Woburn,woburn,Commuter Rail,City Council,2025,1,,
Worcester,worcester,Commuter Rail,City Council,2024,1,Compliant,2024-08-22
Wrentham,wrentham,Adjacent community,Select Board,2024,1,Compliant,2025-10-03
