municipality,year,election_type,expected,provenance,native_url,hosted_url,source,confidence,verification,priority,pdf_filename,has_pdf,has_json,status,markdown_url,conversion_method,known_bad_url,coverage_state,source_kind
Agawam,2023,regular,yes,detally-news-tally,https://www.agawam.ma.us/Archive.aspx;https://www.agawam.ma.us/231/Election-Information;https://www.agawam.ma.us/DocumentCenter/View/3464/Town-of-Agawam-Employment-Manual,,manual,manual,,95,Agawam2023_d0.pdf,,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Agawam2023.md,playwright+docling-2.66.0,,published,official
Agawam,2024,regular,no,CITY_ODD_YEAR_CYCLE,,,,,,,Agawam2024_d0.pdf,,no,no_election,,,,no_election,other
Agawam,2025,regular,yes,LEO,https://www.agawam.ma.us/DocumentCenter/View/3428/2025-Resuts?bidId=,,manual_city,manual,"manual | CITATION DEAD, no replacement found 2026-08-21 (404 via curl_cffi chrome; DocumentCenter id 3428 deleted; no 2025 results doc on live site); artifact is held locally | SEATS CORRECTED 2026-08-21: City Council 16->11 and School Committee 7->6. The old values were CANDIDATE counts, not seats. Proven two ways: the ballot arithmetic (Mayor total 5,088 = ballots; Council 55,968 = 5,088 x 11; School Cttee 30,528 = 5,088 x 6) and WWLP 2025-11-04, which states Agawam has an ""11-member City Council, elected entirely at-large"" and ""seven candidates ... for the six-member Agawam School Committee"". That WWLP article is a PRE-ELECTION preview published 18:13 before polls closed at 20:00 and carries NO tallies - it corroborates seat counts only. Saved as data/sources/Agawam2025_seatcount_corroboration_wwlp.html. The cited DocumentCenter id 3428 is dead with no archive capture; the artifact is held. | CORROBORATED 2026-08-21 by MassLive ""Agawam incumbents, newcomers celebrate wins on Election Day"" (https://www.masslive.com/westernmass/2025/11/agawam-incumbents-newcomer-celebrate-wins-on-election-day.html): 24 of 32 named-candidate totals match the record EXACTLY, and it independently confirms the seat fix - ""Eleven councilors were elected from a field of 16 candidates"". Turnout 21.7% per Town Clerk Vincent Gioscia. The article calls the City Council figures an ""unofficial tally"". Mayor was on the ballot UNOPPOSED (2-year cycle, corroborated by our own 2021 and 2023 Agawam mayoral races); all other names in the MAYOR race are write-ins.",100,,no,no,hosted,,pypdf,,published,official
Agawam,2026,regular,no,,,,,,"no_election: even-year row seeded from the 2024 cohort, 2026-08-19",,,,,,,,,no_election,other
Alford,2021,regular,yes,LEO,https://www.townofalford.org/sites/g/files/vyhlif6926/f/uploads/alford_historic_district_extension_preliminary_study_report_2020.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Alford2021_d0.pdf,scraper_sheet9,low,,70,Alford2021_d0.pdf,yes,yes,pdf_hosted,,,,published,official
Alford,2022,regular,yes,LEO,https://www.townofalford.org/sites/g/files/vyhlif6926/f/news/election_results.pdf,,verified_yes,medium,"landed 2026-09-01 from the round-10 news-window sweep (official; town news item ""Annual Election Results"", posted 18 May 2022); artifact only, parse and gate follow",90,Alford2022_d0.pdf,no,no,published,,,,published,official
Alford,2023,regular,yes,LEO,https://www.townofalford.org/home/town-clerk/news/results-annual-town-election-may-162023,,manual_sources,manual,,95,Alford2023_d0.pdf,,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Alford2023.md,playwright+docling-2.66.0,,published,official
Alford,2024,regular,yes,owner-supplied-2026-08-22-small_towns_ingest,https://www.townofalford.org/sites/g/files/vyhlif6926/f/news/official_results_of_the_annual_town_election_52124_0.xlsx,,manual,medium,manual_ingest,90,Alford2024_d0.pdf,yes,no,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Alford2024.md,pandas-xlsx,,published,official
Alford,2025,regular,yes,LEO,https://www.townofalford.org/home/town-clerk-office/files/alford-annual-town-election-results-52025,,scraper_sheet9,spraped,,70,,no,no,hosted,,docling-2.66.0,,published,official
Alford,2026,regular,yes,cohort-2026,https://news.google.com/rss/articles/CBMi1gFBVV95cUxNYlpNQzFWaFVBelhQUVJSUGJXbXlJWlhCZEhkVUNQS0xCTTFxM3hQT2NrTHd4QnNwU19McGQxdk9MR0Y3OEcxeUY2d0tfdmJTaFA0ZkI2dzNXMV9PY2ZXaDVqS3oyN1VZVWRrczNQNDM2SDhoZUx5M3UxNUxRbmNoZ3N1T3lhNEpZYkd6OENLVkVMSTRtM0lsWG1MNElFeFc5T2oyMGgwaFhVLW1vMXd1Q3pOUG9xa1Z4bGE3X3I2dlJNWjdvYU05bkVNQ3RBcE1meVRFZWxn?oc=5,,,,,,,no,no,hosted,,,,published,news
Amesbury,2021,regular,yes,LEO,https://www.amesburyma.gov/DocumentCenter/View/2115/2021-Nov-2---Amesbury-Municipal-Election-Official-PDF,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Amesbury2021_d0.pdf,manual_sources,manual,,95,Amesbury2021_d0.pdf,yes,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Amesbury2021.md,pypdf,,published,official
Amesbury,2022,regular,no,CITY_ODD_YEAR_CYCLE,,,,,,,Amesbury2022_d0.pdf,,no,no_election,,,,no_election,other
Amesbury,2023,regular,yes,LEO,https://www.amesburyma.gov/DocumentCenter/View/4262/November-7-2023-Municipal-Election-Results-Unofficial,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Amesbury2023_d0.pdf,manual_sources,manual,,95,Amesbury2023_d0.pdf,yes,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Amesbury2023.md,pypdf,,published,official
Amesbury,2024,regular,no,CITY_ODD_YEAR_CYCLE,,,,,,,Amesbury2024_d0.pdf,,no,no_election,,,,no_election,other
