# Records holding ballots_cast: null whose document prints a count.
#
# Found 2026-09-07 by scanning every null-ballots record for a printed
# ballot/turnout figure and keeping only those where no non-regional contest
# exceeds the figure times its seats. NOT filed as adjudications: the filter
# is not sufficient. East Brookfield 2022 reads '- 99 ballots cast - 1,647
# registered voters' and the arithmetic picks 1,647; Lexington 2023's 'TOTAL
# VOTERS 2387 2565 2203 ...' is a per-precinct row. Each has to be read.
#
# stem<TAB>figure<TAB>readings searched<TAB>window
Seekonk2023	2104	markdown+pdftext	to the Seekonk residents we had a huge voter turnout. Eligible voters: 11,534. Total votes cast: 2,104 (18%) Precinct 1 - 459 votes. Precinct 2 – 709 votes. Preci
Sheffield2021	279	news_text	es Sheffield Planning Board seat by six votes", 10 May 2021 (Heather Bellow). **Ballots cast: 279 of 2,540 registered = 10.9%** — attributed to Town Clerk Fe
Shelburne2021	144	news_text	victorious" and then gives "The results of the remaining uncontested races". **Ballots cast: 144 of roughly 1,400 registered.** Polls open 10 a.m.-8 p.m. at
Taunton2021	7002	raw_ocr+markdown	4 |609 [628 |581 {533 |7002 Registered Voters Total 37,048 Precincts Counted 16 Total Ballots Cast 7002 Total Blank Ballots 2 Total Voter Turnout 18.87 CITY OF TAU
Uxbridge2022	948	markdown+pdftext	TOWN OF UXBRIDGE TOTAL TALLY SHEET 5/24/2022 # Eligible Voters 10,944 Election Total Votes Cast 948 Percent 8.7% PRECINCT 1 2 3 4 TOTAL TOTAL VOTES CAST 264 23
Uxbridge2024	1644	markdown+pdftext	s 11,573 Election Total Votes Cast 1,051 Election Total Votes Cast 593 Election Total Votes Cast 1,644 Percent 9.1% Percent 5.1% Percent 14.2% PRECINCT 1 01A 2 3
Wareham2021	17460	markdown+pdftext	Town Election 4-May-21 Total Voters 17460 voted 1187 Selectman % turnout 7% Alan Slavin 472 * Glenn L
Wendell2021	96	news_text	ates won in uncontested races... The results of the election are as follows". **Ballots cast: 96.** The article gives the number of voters who came to the p
Wendell2022	91	news_text	thol Daily News the same day. Figures attributed to Town Clerk Anna Wetherby. **Ballots cast: 91 of 729 registered = 8%.** **Every race was uncontested** —
Williamsburg2026	160	news_text	iamsburg town election", 6 May 2026. Turnout attributed to Warden Kathy Luce. **Ballots cast: 160 of 2,218 registered = 7%.** ## Recreation Commission — 2 se
Wilmington2023	2990	markdown+pdftext	WRITE INS BLANKS 22 33 19 26 15 23 138 BLANKS Total 150 158 102 176 163 164 913 Total Voters 2990 2916 2773 3012 2879 2953 17523 Total Voters TOTAL VOTES 150
Worthington2022	266	news_text	esults%202022&Body=https:\worthington-ma.us\2022\05\town-election-results-2022) Ballots Cast - 266 Registered Voters - 997 ## Contested Races ### Finance Comm
Worthington2024	371	raw_ocr+pdftext	esults/ Election & Town Meeting Results Election Results Registered Voters -993 Votes Cast - 371 (a 44% increase over the 258 Ballots Cast in the 2023 Town
Yarmouth2022	1642	raw_ocr+markdown+pdftext	3 Total 328 181 148 195 145 155 331 159 1,642 Total Registered Voters 21,296.00 Ballots Cast 1,642.00 7.71% 60 TOWN ELECTION TOWN OF YARMOUTH OFFICIAL RESULTS
