doc_id,town,town_norm,community_type,governing_body,board,doctype,year,verdict,url,status
ec3f1eaecb,Tewksbury,tewksbury,MBTA adjacent,Select Board,,,,CONFIRMED,https://www.tewksbury-ma.gov/DocumentCenter/View/3537/MBTA-Communities-Action-Plan-Submission-PDF,OK
866d37e7f7,Tewksbury,tewksbury,MBTA adjacent,Select Board,,,,CONFIRMED,https://www.tewksbury-ma.gov/DocumentCenter/View/4135/MBTA-Communities-Workshop-Presentation-91323-PDF?bidId=,OK
d5735b3982,Tewksbury,tewksbury,MBTA adjacent,Select Board,,,2023,CONFIRMED,https://tewksbury-ma.gov/DocumentCenter/View/4105/MBTA-Community-Questions-and-Response-from-August-15-2023-PDF,OK
0531a5cc3d,Topsfield,topsfield,MBTA adjacent,Select Board,,,,PROBABLE,https://www.topsfield-ma.gov/DocumentCenter/View/283/18-Article-XVIII---MBTA-Communities-Multi-Family-Overlay-District,OK
6049a8fed6,Topsfield,topsfield,MBTA adjacent,Select Board,,,,PROBABLE,https://www.topsfield-ma.gov/1408/MBTA-Multi-Family-District,OK
d712ccd9d2,Topsfield,topsfield,MBTA adjacent,Select Board,,bylaw,,PROBABLE,https://www.topsfield-ma.gov/DocumentCenter/View/338,OK
17d7b3781e,Tyngsborough,tyngsborough,MBTA adjacent,Select Board,,,,CONFIRMED,https://tyngsboroughma.gov/564/MBTA-Communities,OK
890ba626d0,Upton,upton,MBTA adjacent,Select Board,town_meeting,warrant,,CONFIRMED,https://uptonma.gov/DocumentCenter/View/6266/KP-940422v1-UPTN_MBTA_Communities_Overlay_District_Draft_Bylaw_Sept_6_Warrant_Article_ReviewFINAL,OK
4a6f1358a5,Upton,upton,MBTA adjacent,Select Board,town_meeting,warrant,,CONFIRMED,https://uptonma.gov/DocumentCenter/View/7550/KP-940422-v1-UPTN_MBTA_Communities_Overlay_District_Draft_Bylaw_Sept_6_Warrant_Article_ReviewFINAL,OK
705eb87d72,Upton,upton,MBTA adjacent,Select Board,town_meeting,warrant,,CONFIRMED,https://www.uptonma.gov/DocumentCenter/View/5061,OK
5fec435d34,Wareham,wareham,MBTA adjacent,Select Board,town_meeting,minutes,,CONFIRMED,https://www.wareham.gov/DocumentCenter/View/6478/4282025-Special-Town-Meeting-Warrant-and-Minutes,OK
a408c7f493,Wareham,wareham,MBTA adjacent,Select Board,town_meeting,minutes,,CONFIRMED,https://www.wareham.gov/DocumentCenter/View/6727,OK
b21f699be0,Wareham,wareham,MBTA adjacent,Select Board,town_meeting,minutes,,CONFIRMED,https://www.wareham.ma.us/DocumentCenter/View/6478,OK
da1a210934,Wareham,wareham,MBTA adjacent,Select Board,town_meeting,minutes,,CONFIRMED,https://www.wareham.ma.us/DocumentCenter/View/6727,OK
87bcbd91b7,Wayland,wayland,MBTA adjacent,Select Board,zoning,,,CONFIRMED,https://ma-wayland.civicplus.com/920/MBTA-Communities---Multi-Family-Zoning-D,OK
b7886871cb,Wayland,wayland,MBTA adjacent,Select Board,zoning,,,CONFIRMED,https://wayland.ma.us/920/MBTA-Communities---Multi-Family-Zoning-D,OK
4b5596f3b9,Wayland,wayland,MBTA adjacent,Select Board,zoning,bylaw,,CONFIRMED,https://www.wayland.ma.us/DocumentCenter/View/6742,OK
2bdbf21a3f,Wellesley,wellesley,subway or light rail,Select Board,,,,CONFIRMED,https://wellesleyma.gov/DocumentCenter/View/37501,OK
00a5dd28d8,Wellesley,wellesley,subway or light rail,Select Board,town_meeting,,2024,CONFIRMED,https://wellesleyma.gov/DocumentCenter/View/49159/MBTA-Presentation-STM,OK
8f69b296ac,Wenham,wenham,commuter rail,Select Board,,,,CONFIRMED,https://www.wenhamma.gov/DocumentCenter/View/753/MBTA-Communities-Presentation-PDF,OK
b2f09fbddf,Wenham,wenham,commuter rail,Select Board,,,,CONFIRMED,https://www.wenhamma.gov/DocumentCenter/View/754/MBTA-Communities-Fact-Sheet-PDF,OK
f92bed4296,Wenham,wenham,commuter rail,Select Board,,,2025,CONFIRMED,https://wenhamma.gov/DocumentCenter/View/1768/MBTA-Communities-Action-Plan-Submission-February-2025-PDF,OK
46613eecb2,Westford,westford,MBTA adjacent,Select Board,,,,CONFIRMED,https://www.westfordma.gov/DocumentCenter/View/13128/MBTA-Communities---9822-Webinar-Presentation-re-Compliance-Guidelines-vF,OK
f124af82fc,Westford,westford,MBTA adjacent,Select Board,,,,CONFIRMED,https://www.westfordma.gov/DocumentCenter/View/14216/MBTA_Communities_Explainer_2_What_done_so_far,OK
