municipality,year,provenance,capture_status,host,native_url,hosted_url
Holliston,2021,LEO,MISS_host_crawled,townofholliston.us,https://www.townofholliston.us/Archive.aspx?ADID=123,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Holliston2021.pdf
Holliston,2022,LEO,MISS_host_crawled,townofholliston.us,https://www.townofholliston.us/Archive.aspx?ADID=122,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Holliston2022.pdf
Holliston,2023,LEO,MISS_host_crawled,townofholliston.us,https://www.townofholliston.us/Archive.aspx?ADID=121,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Holliston2023.pdf
Holliston,2024,LEO,MISS_host_crawled,townofholliston.us,https://www.townofholliston.us/Archive.aspx?ADID=118,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Holliston2024.pdf
Holliston,2025,LEO,MISS_host_crawled,townofholliston.us,https://www.townofholliston.us/sites/g/files/vyhlif706/f/uploads/official_results_ate_5-20-2025.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Holliston2025.pdf
Hanover,2021,LEO,MISS_host_crawled,hanover-ma.gov,https://www.hanover-ma.gov/sites/g/files/vyhlif12081/f/uploads/town_of_hanover_official_results_5-8-2021.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Hanover2021.pdf
Hanover,2022,LEO,MISS_host_crawled,hanover-ma.gov,https://www.hanover-ma.gov/sites/g/files/vyhlif12081/f/uploads/town_of_hanover_official_results_5-7-2022.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Hanover2022.pdf
Hanover,2023,LEO,MISS_host_crawled,hanover-ma.gov,https://www.hanover-ma.gov/finance-department/town-clerk/files/official-results-reports-annual-town-election-5-13-23,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Hanover2023.pdf
Hanover,2024,LEO,MISS_host_crawled,hanover-ma.gov,https://www.hanover-ma.gov/sites/g/files/vyhlif12081/f/uploads/official_results_reports_annual_town_election_5-18-24.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Hanover2024.pdf
Hanover,2025,LEO,MISS_host_crawled,hanover-ma.gov,https://www.hanover-ma.gov/sites/g/files/vyhlif12081/f/uploads/official_results_reports_annual_town_election_5-17-25.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Hanover2025.pdf
Dennis,2021,LEO,MISS_host_crawled,town.dennis.ma.us,https://www.town.dennis.ma.us/DocumentCenter/View/669/2021-Annual-Town-Election-PDF,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Dennis2021.pdf
Dennis,2022,LEO,MISS_host_crawled,town.dennis.ma.us,https://www.town.dennis.ma.us/DocumentCenter/View/684/2022-Annual-Town-Election---Official-Results-PDF,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Dennis2022.pdf
Dennis,2023,LEO,MISS_host_crawled,town.dennis.ma.us,https://www.town.dennis.ma.us/DocumentCenter/View/683/2023-Annual-Town-Election---Official-Results-PDF,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Dennis2023.pdf
Dennis,2024,LEO,MISS_host_crawled,town.dennis.ma.us,https://www.town.dennis.ma.us/DocumentCenter/View/2502/Annual-Town-Election-5-14-2024-Official-Results,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Dennis2024.pdf
Dennis,2025,LEO,MISS_host_crawled,town.dennis.ma.us,https://www.town.dennis.ma.us/DocumentCenter/View/3474/OFFICIAL-Annual-Town-Election-Results-5-13-2025,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Dennis2025.pdf
