town,town_norm,community_type,governing_body,eohlc_status,adoption_date,extracted_legislative,extracted_planning_board,extracted_source_url
Middleborough,middleborough,commuter rail,Select Board,Interim/Unknown,,,,
Middleton,middleton,MBTA adjacent,Select Board,Non-Compliant,,,,
Millbury,millbury,MBTA adjacent,Select Board,Compliant,2025-07-08,unknown; 2024-11-09; art 8,unknown; art 28,https://millburyma.gov/DocumentCenter/View/385/Signed-Warrant
Millis,millis,MBTA adjacent,Select Board,Compliant,2024-06-18,,,
Milton,milton,subway or light rail,Select Board,Compliant,,,,
Nahant,nahant,bus,Select Board,Compliant,2025-11-05,,,
Natick,natick,commuter rail,Select Board,Compliant,,,,
Needham,needham,bus,Select Board,Compliant,2024-08-27,adopted; 2025-01-14,recommended; 2025-01-21,https://needhamma.gov/DocumentCenter/View/47397
Newbury,newbury,commuter rail,Select Board,Compliant,2024-10-04,adopted; 2024-04-30; 234-80; art 14,,https://townofnewbury.org/896/MBTA-Communities-Multi-Family-Zoning-Ove
Newburyport,newburyport,commuter rail,City Council,Compliant,,,,
Newton,newton,subway or light rail,City Council,Compliant,2024-01-29,,,
Norfolk,norfolk,commuter rail,Select Board,Compliant,,,,
North Andover,northandover,commuter rail,Select Board,Compliant,2024-08-20,,,
North Attleborough,northattleborough,MBTA adjacent,City Council,Compliant,2024-12-27,,,
North Reading,northreading,MBTA adjacent,Select Board,Compliant,2025-06-10,adopted; 2025-06-09,,https://northreadingma.gov/377/MBTA-Communities3A-Compliance
Northborough,northborough,MBTA adjacent,Select Board,Compliant,2024-09-27,adopted; 2024-04-22; art 49,,https://www.town.northborough.ma.us/sites/g/files/vyhlif12221/f/uploads/town_meeting_minutes_04.22.2024.pdf
Northbridge,northbridge,MBTA adjacent,Select Board,Compliant,2023-09-11,,,
Norton,norton,MBTA adjacent,Select Board,Compliant,2025-05-22,,,
Norwell,norwell,MBTA adjacent,Select Board,Compliant,,,,
Norwood,norwood,bus,Select Board,Compliant,2023-12-11,,recommended; 2024-01-08,https://www.norwoodma.gov/departments/planning_and_economic_development/mbta_community_initiative.php
Paxton,paxton,MBTA adjacent,Select Board,Compliant,2025-12-08,,,
Peabody,peabody,bus,City Council,Compliant,2024-12-10,,,
Pembroke,pembroke,MBTA adjacent,Select Board,Compliant,2023-05-02,,,
Plymouth,plymouth,commuter rail,Select Board,Compliant,2025-05-29,,,
Plympton,plympton,MBTA adjacent,Select Board,Compliant,2025-05-22,adopted; 2025-05-14; art 19,,https://town.plympton.ma.us/DocumentCenter/View/669/Minutes-for-Annual-Town-Meeting
Princeton,princeton,MBTA adjacent,Select Board,Interim/Unknown,,,,
Quincy,quincy,subway or light rail,City Council,Compliant,2024-01-30,,,
Randolph,randolph,bus,City Council,Compliant,2024-08-27,,,
Raynham,raynham,MBTA adjacent,Select Board,Compliant,2025-05-22,,,
Reading,reading,bus,Select Board,Compliant,2025-01-02,,,
Rehoboth,rehoboth,MBTA adjacent,Select Board,Non-Compliant,,,recommended; art 8,https://www.rehobothma.gov/sites/g/files/vyhlif4911/f/uploads/warrant_10.7.25-final_copy_to_printer.pdf
Revere,revere,subway or light rail,City Council,Compliant,2023-12-15,,,
Rochester,rochester,MBTA adjacent,Select Board,Compliant,,,,
Rockland,rockland,MBTA adjacent,Select Board,Compliant,2024-09-30,,,
Rockport,rockport,commuter rail,Select Board,Compliant,2024-09-20,,,
Rowley,rowley,commuter rail,Select Board,Compliant,2025-07-07,,,
Salem,salem,bus,City Council,Compliant,2023-06-08,,,
Salisbury,salisbury,MBTA adjacent,Select Board,Compliant,2024-10-09,,,
