town,body,in_corpus,own_agenda,own_minutes,any_agenda,any_minutes,n_own_ag,n_own_min
Mashpee,Select Board,True,True,True,True,True,17,52
Mattapoisett,Select Board,True,True,False,True,True,41,0
Maynard,Select Board,True,True,True,True,True,416,328
Medfield,Select Board,True,True,True,True,True,37,27
Medford,City Council,True,False,False,True,True,0,0
Medway,Select Board,True,True,False,True,True,6,0
Melrose,City Council,True,False,False,True,True,0,0
Mendon,Select Board,True,True,True,True,True,23,18
Merrimac,Select Board,True,False,False,True,True,0,0
Methuen,City Council,True,True,True,True,True,97,18
Middleborough,Select Board,True,True,True,True,True,46,20
Middlefield,Select Board,True,True,True,True,True,18,15
Middleton,Select Board,True,True,False,True,True,22,0
Milford,Select Board,True,True,True,True,True,43,13
Millbury,Select Board,True,True,True,True,True,46,19
Millis,Select Board,True,True,True,True,True,9,3
Millville,Select Board,True,False,False,True,True,0,0
Milton,Select Board,True,True,True,True,True,297,53
Monroe,Select Board,False,False,False,False,False,0,0
Monson,Select Board,True,True,True,True,True,30,18
Montague,Select Board,True,True,True,True,True,1208,996
Monterey,Select Board,True,False,True,True,True,0,59
Montgomery,Select Board,True,True,True,True,True,1,25
Mount Washington,Select Board,True,False,False,False,False,0,0
Nahant,Select Board,True,True,True,True,True,335,484
Nantucket,Select Board,True,True,True,True,True,12,60
Natick,Select Board,True,True,True,True,True,3,80
Needham,Select Board,True,False,False,True,True,0,0
New Ashford,Select Board,True,True,True,True,True,169,254
New Bedford,City Council,True,True,True,True,True,1,1
New Braintree,Select Board,True,True,False,True,True,5,0
Newbury,Select Board,True,True,True,True,True,34,79
Newburyport,City Council,True,True,False,True,True,17,0
New Marlborough,Select Board,True,True,True,True,True,387,10
New Salem,Select Board,True,True,True,True,True,34,14
Newton,City Council,True,False,False,True,True,0,0
Norfolk,Select Board,True,False,False,True,True,0,0
North Adams,City Council,True,False,True,False,True,0,4
Northampton,City Council,True,True,True,True,True,249,125
North Andover,Select Board,False,False,False,False,False,0,0
North Attleborough,City Council,True,True,True,True,True,178,114
Northborough,Select Board,True,True,True,True,True,125,24
Northbridge,Select Board,True,True,True,True,True,91,5
North Brookfield,Select Board,True,True,True,True,True,93,234
Northfield,Select Board,True,True,True,True,True,31,17
North Reading,Select Board,True,True,True,True,True,69,87
Norton,Select Board,True,True,True,True,True,32,5
Norwell,Select Board,True,True,True,True,True,151,1
Norwood,Select Board,False,False,False,False,False,0,0
Oak Bluffs,Select Board,True,True,True,True,True,40,29
Oakham,Select Board,True,True,True,True,True,57,8
Orange,Select Board,True,False,False,False,True,0,0
Orleans,Select Board,True,True,True,True,True,63,24
Otis,Select Board,True,True,True,True,True,32,34
Oxford,Select Board,True,True,True,True,True,25,17
Palmer,City Council,True,False,True,True,True,0,19
Paxton,Select Board,True,True,True,True,True,28,1
