stem,office,action,was,becomes,reason
Bridgewater2006,BRIDGEWATER-RAYNHAM REGIONAL DISTRICT SCHOOL COMMITTEE (BRID,fix seat count,1,2,"marks 5610 are exactly 2x the ballot count 2805; seats recorded as 1, source derived"
Bridgewater2006,BRIDGEWATER-RAYNHAM REGIONAL DISTRICT SCHOOL COMMITTEE (RAYN,fix seat count,1,2,"marks 5610 are exactly 2x the ballot count 2805; seats recorded as 1, source derived"
Brookline2015,QUESTION #1: OPERATING BUDGET OVERRIDE,ballot question moved to `questions`,,,"rows are 'Blanks', 'YES', 'NO' -- a question, not an office"
Brookline2015,QUESTION #2: DEBT EXCLUSION OVERRIDE,ballot question moved to `questions`,,,"rows are 'Blanks', 'YES', 'NO' -- a question, not an office"
Brookline2019,QUESTION #1: Discoll and Baldwin Schools DEBT EXCLUSION OVER,ballot question moved to `questions`,,,"rows are 'Blanks', 'YES', 'NO' -- a question, not an office"
Carlisle2016,BALLOT QUESTION 1,ballot question moved to `questions`,,,"rows are 'YES', 'NO', 'BLANK' -- a question, not an office"
Carver2001,Question 1. Non-binding,ballot question moved to `questions`,,,"rows are 'Yes', 'No', 'Blanks' -- a question, not an office"
Carver2001,Question 1. Non-binding,ballot question moved to `questions`,,,"rows are 'Yes', 'No', 'Blanks' -- a question, not an office"
Carver2001,Question 1. Non-binding,ballot question moved to `questions`,,,"rows are 'Yes', 'No', 'Blanks' -- a question, not an office"
Carver2004,Member of School Board - 3 Years,fix seat count,1,2,"marks 676 are exactly 2x the ballot count 338; seats recorded as 1, source derived"
Carver2004,Library Trustee - 3 Years,fix seat count,1,2,"marks 676 are exactly 2x the ballot count 338; seats recorded as 1, source derived"
Carver2005,Member of School Board - 3 Years,report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Member of School Board - 3 Years'
Carver2007,Constable,fix seat count,1,3,"marks 1899 are exactly 3x the ballot count 633; seats recorded as 1, source derived"
Carver2008,Member of School Board,fix seat count,1,2,"marks 3812 are exactly 2x the ballot count 1906; seats recorded as 1, source derived"
Carver2010,Library Trustees - 3 Years,report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Library Trustees - 3 Years'
Chatham2020,MONOMOY REGIONAL SCHOOL COMMITTEE,fix seat count,1,2,"marks 1162 are exactly 2x the ballot count 581; seats recorded as 1, source marked"
Chelmsford2008,QUESTION 1,ballot question moved to `questions`,,,"rows are 'Blanks', 'Yes', 'No' -- a question, not an office"
Chelmsford2011,TOWN MTG REPRES (3 YEARS) (6) PCT #7,report seat count,6,7,marks are exactly 7x ballots but the page is quoted as printing 6 seats: '(6)'
Cheshire2019,Adams-Cheshire Regional School Committee Member from Cheshir,duplicate row removed,1,,row 'write-ins' duplicated the printed total 512
Clinton2019,Library,fix seat count,1,2,"marks 3008 are exactly 2x the ballot count 1504; seats recorded as 1, source derived"
Concord2014,CONCORD HOUSING AUTH for 5 Yrs,residual row closed against the printed total,,0,the printed total 2194 less the 2194 read on the other rows; the blank row is 'Write-Ins:'
Danvers2016,Library Trustees - Vote for not more than 2 for 3 Years,report seat count,2,3,marks are exactly 3x ballots but the page is quoted as printing 2 seats: 'Vote for not more than 2 for 3 Years'
Danvers2017,Precinct 1 - Vote for not more than 2 for 1 year,residual row closed against the printed total,,0,the printed total 408 less the 408 read on the other rows; the blank row is 'Write-Ins'
Danvers2017,Precinct 2 - Vote for not more than 6 for 3 years,residual row closed against the printed total,,0,the printed total 1230 less the 1230 read on the other rows; the blank row is 'Write-Ins'
Danvers2017,Precinct 7 - Vote for not more than 6 for 3 years,residual row closed against the printed total,,0,the printed total 1662 less the 1662 read on the other rows; the blank row is 'Write-Ins'
Danvers2017,Precinct 7 - Vote for not more than 1 for 2 years,residual row closed against the printed total,,0,the printed total 277 less the 277 read on the other rows; the blank row is 'Write-Ins'
Danvers2017,Precinct 8 - Vote for not more than 1 for 1 year,residual row closed against the printed total,,0,the printed total 160 less the 160 read on the other rows; the blank row is 'Write-Ins'
Danvers2018,Library Trustees - Vote for not more than 3 for 3 Years,residual row closed against the printed total,,0,the printed total 6342 less the 6342 read on the other rows; the blank row is 'Write-Ins'
Danvers2018,Precinct 7 - Vote for not more than 1 for 1 year,residual row closed against the printed total,,0,the printed total 309 less the 309 read on the other rows; the blank row is 'Write-Ins'
