stem,rung,contests,reason
Westport2010,review,13,Trustees Of Free Public Library - Three Years: seats inferred as 2 but the totals imply 1
Westport2011,publish,18,
Westport2012,hold,10,Selectman - Three Years: 6246 marks exceeds 3123x1=3123 -- impossible
Westport2013,hold,0,the parse found no contest in this section
Westport2014,publish,15,
Westport2015,publish,11,
Westport2016,publish,11,
Westport2018,publish,12,
Westport2019,publish,14,
Westport2020,hold,0,the parse found no contest in this section
Westwood2008,hold,0,the parse found no contest in this section
Westwood2012,publish,9,
Westwood2015,publish,9,
Whitman2010,review,1,Board of Assessors: a figure was not readable
Whitman2011,publish,11,
Whitman2018,review,1,only one contest -- a return usually elects several
Whitman2020,review,10,no election date could be derived
Wilbraham2009,publish,11,no two contests agree on a ballot count
Wilbraham2010,publish,10,no two contests agree on a ballot count
Wilbraham2011,publish,8,no two contests agree on a ballot count
Wilbraham2012,hold,11,SELECTMAN – 3 YRS.: 1152 marks exceeds 892x1=892 -- impossible
Wilbraham2013,hold,0,the parse found no contest in this section
Wilbraham2014,hold,0,the parse found no contest in this section
Wilbraham2015,hold,0,the parse found no contest in this section
Wilbraham2016,hold,0,the parse found no contest in this section
Wilbraham2017,hold,0,the parse found no contest in this section
Wilbraham2018,hold,10,the section supports almost none of this record -- 4/18 names and 0/18 figures located in it
Wilbraham2019,hold,0,the parse found no contest in this section
Williamsburg2006,publish,15,
Williamsburg2017,hold,13,Board of Health – 3 years – vote for 1: 350 marks exceeds 348x1=348 -- impossible
Wilmington2009,publish,5,
Wilmington2011,publish,4,
Wilmington2013,publish,4,
Winchendon2016,publish,6,
Winchester2002,publish,10,
Winchester2003,publish,18,
Winchester2005,review,21,no election date could be derived
Winchester2011,review,22,QUESTION 1: seat count left null by the transcriber
Winchester2015,publish,21,
Winchester2018,publish,20,
Winchester2019,publish,23,
Winchester2020,publish,20,
Worcester2010,hold,0,the parse found no contest in this section
Wrentham2011,publish,12,
Wrentham2014,hold,0,the parse found no contest in this section
Yarmouth2010,publish,8,
Yarmouth2011,hold,0,the parse found no contest in this section
Yarmouth2020,hold,0,the parse found no contest in this section
